basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
4778448,ca.proc.d.2019-05-08.10612959,2019-05-08,3176068f-62ee-4b2f-aacd-1131201c6db1,214707,The Speaker,,,,,"We will now have the singing of O Canada, led by the hon. member for Edmonton Centre.
 [Members sang the national anthem] ",Liberal,Halifax West,Geoff Regan,http://www.parl.gc.ca/Parliamentarians/en/members/geoff-regan(214707)
4778449,ca.proc.d.2019-05-08.10612969,2019-05-08,9e05a099-6a0b-4fe2-9e9b-0a8b91b7807b,214054,"Ms. Monique Pauzé (Repentigny, BQ)",,Statements By Members,Arvida,,"Mr. Speaker, Quebec has a hard time preserving its heritage. For years now, the City of Saguenay and Quebec City have been asking Ottawa to put Arvida on the list of proposed UNESCO world heritage sites.
Arvida's first 270 houses were built in just 135 days. It is a unique and very well-preserved world-famous model of urban design. It played a key role in the development of the Saguenay region, which, because of aluminum, has been integral to Canada-U.S. industrial relations for over a century. UNESCO asked countries to do more to showcase their industrial heritage and 20th-century architecture. Arvida checks both boxes. Enough dithering already.
When will the government put Arvida on UNESCO's world heritage list?",Bloc Québécois,Repentigny,Monique Pauzé,http://www.parl.gc.ca/Parliamentarians/en/members/monique-pauze(214054)
4778450,ca.proc.d.2019-05-08.10612972,2019-05-08,3da57866-49d8-42d1-9f5b-c78561f67c9d,215963,"Mr. Sukh Dhaliwal (Surrey—Newton, Lib.)",,Statements By Members,278 Cormorant Squadron,,"Mr. Speaker, I want to recognize the outstanding young men and women of the 278 Cormorant air cadets squadron. Led by commanding officer Captain Jagdeep Masoun and chairperson Rupinderjit Thind, the program aims to help young people become good citizens as well as develop an interest in the various activities of the Canadian Forces.
 These young Canadians are learning valuable life skills such as leadership and teamwork. They are giving back to the community, which makes Surrey-Newton and all of Canada a better place. 
I would like members to join me in thanking the B.C. Provincial Committee of the Air Cadet League of Canada and the 278 Cormorant air cadets, their parents, and volunteers for their dedicated commitment, service and hard work in helping others.",Liberal,Surrey—Newton,Sukh Dhaliwal,http://www.parl.gc.ca/Parliamentarians/en/members/sukh-dhaliwal(215963)
4778451,ca.proc.d.2019-05-08.10612975,2019-05-08,bd2068aa-74c7-430a-bdf5-6f17b14ca140,217464,"Mr. Tom Kmiec (Calgary Shepard, CPC)",,Statements By Members,Special Olympics World Summer Games,,"Mr. Speaker, I rise to mark the achievement of a great young Calgarian, Amber Harriman, from my riding of Calgary Shepard, who returned in March from Abu Dhabi, where she competed in the 2019 Special Olympics World Summer Games as part of Team Canada. Out of the 12 medals brought home by Calgarians, Amber earned seven gold medals in gymnastics. I would say that she did very, very well.
 Did I mention that these were her first world games? She did it with her trademark hard work, a typical can-do Alberta attitude and an extraordinary love of the sport. She describes gymnastics as challenging but beautiful and graceful all at the same time. Athletes like Amber represent Alberta and their hometowns with pride, and they show off our talented sports enthusiasts. 
I invite all members today to join me in congratulating Amber on this impressive achievement and for being an inspiration to other aspiring athletes in Alberta and across Canada. ",Conservative,Calgary Shepard,Tom Kmiec,http://www.parl.gc.ca/Parliamentarians/en/members/tom-kmiec(217464)
4778452,ca.proc.d.2019-05-08.10612978,2019-05-08,57a5155f-7b78-4fe9-9c6d-c425f053d4b2,242064,"Mr. Andy Fillmore (Halifax, Lib.)",,Statements By Members,Chair of the Conference for Advanced Life Underwriting,,"Mr. Speaker, I rise today to congratulate Roger Sinclair, from my beautiful riding of Halifax, on his appointment as chair of the Conference for Advanced Life Underwriting, also known as CALU.
Roger is a founder and partner at SBW Wealth Management &amp; Employee Benefits and has spent 37 years providing practical financial advice to clients throughout Atlantic Canada. He is recognized as a national industry leader. Mr. Sinclair is the first Nova Scotian to chair CALU. 
Over 480 CALU members from across Canada are in Ottawa this week for CALU's annual general meeting, where Mr. Sinclair was confirmed as the new chair just this morning.
I congratulate Roger on this great achievement. I look forward to working with him in Halifax to help Nova Scotians and all Canadians navigate advanced planning issues to benefit their futures.",Liberal,Halifax,Andy Fillmore,http://www.parl.gc.ca/Parliamentarians/en/members/andy-fillmore(242064)
4778453,ca.proc.d.2019-05-08.10612981,2019-05-08,50a18bf1-9be3-4563-b657-6af367453ba0,217254,"Mr. Charlie Angus (Timmins—James Bay, NDP)",,Statements By Members,Suicide Prevention,,"Mr. Speaker, tonight Parliament will vote on Motion No. 174 to establish a national suicide prevention action plan. Canada is the only G7 country without a plan, yet suicide cuts across all political, cultural and economic spectrums. We lose 4,000 people every year to suicide, and each one of those deaths hits communities and families like a shock wave of grief. Quebec established a plan and dropped youth suicide rates by 50%. It is time the Parliament of Canada stepped up.
 I began this journey in the dark night of the northern suicide crisis, but I was inspired by the determination of youth leaders like Randall Crowe, of Treaty 9, who keep kicking at the darkness until it bleeds daylight. Since then I have met so many amazing activists, like Jack Hicks, Courtney Taylor and Lynne Sutcliffe, who are making hope a reality on the ground. It is time Parliament joined with them.
I am asking my colleagues to stand together tonight and vote for Motion No. 174 to establish a national suicide prevention action plan.",New Democratic Party,Timmins—James Bay,Charlie Angus,http://www.parl.gc.ca/Parliamentarians/en/members/charlie-angus(217254)
4778454,ca.proc.d.2019-05-08.10612985,2019-05-08,00000000-0000-0000-0000-000000000000,242561,"Mrs. Mona Fortier (Ottawa—Vanier, Lib.)",,Statements By Members,Jean Vanier,,"Mr. Speaker, yesterday, we lost an inspiring philanthropist who championed the rights of persons with disabilities. Jean Vanier worked tirelessly to help the most vulnerable Canadians have an equal chance of reaching their full potential.
After visiting a psychiatric hospital, Jean Vanier made it his mission to foster communities where those with developmental disabilities could participate fully, free of any barriers.
Since founding L'Arche in 1964, the charity has established communities that house thousands of people with and without disabilities in more than 35 countries.
Mr. Vanier also contributed to society in many other ways, always striving to make our world fairer and more inclusive for all. His legacy should inspire all Canadians to work to build a fairer, friendlier world. The world has certainly lost an extraordinary leader.",Liberal,Ottawa—Vanier,Mona Fortier,http://www.parl.gc.ca/Parliamentarians/en/members/mona-fortier(242561)
4778455,ca.proc.d.2019-05-08.10612988,2019-05-08,b37cad30-26f6-40c6-8e4c-dd3a0ba841bb,217477,"Mrs. Cheryl Gallant (Renfrew—Nipissing—Pembroke, CPC)",,Statements By Members,Infrastructure,,"Mr. Speaker, the bad policy of the Liberal leader to go into massive debt on so-called social infrastructure, the controversial giveaways, such as the hundreds of millions of dollars given to the China-controlled Asian Infrastructure Investment Bank, and the money given to Hillary's Clinton's foundation are all hitting home in Canada with the Prime Minister's lack of climate change preparedness that the carbon tax is supposed to fund. It is all talk and no action.
What taxpayers want is for a responsible government to be investing in physical infrastructure, such as the main bridge into Garrison Petawawa, Canada's largest army base. That bridge was in danger of being swept away in the flood and had to be closed last week. The new Conservative government of Doug Ford has signed off on the Petawawa bridge, when the old, tired Liberal Party of Ontario would not.
The biggest scandal of the last three and a half years has been the total neglect of Canada's physical infrastructure. Only by electing a responsible Conservative government that respects private property will homeowners see meaningful investment to protect roads and bridges.",Conservative,Renfrew—Nipissing—Pembroke,Cheryl Gallant,http://www.parl.gc.ca/Parliamentarians/en/members/cheryl-gallant(217477)
4778456,ca.proc.d.2019-05-08.10612993,2019-05-08,ae40e780-7dd1-4e34-bf90-4dbb35c18443,242096,"Mr. Jean-Claude Poissant (La Prairie, Lib.)",,Statements By Members,Hélène Sentenne Foundation,,"Mr. Speaker, the Fondation Hélène-Sentenne will be celebrating its 30th anniversary on May 16. This arts and culture organization was named after the Town of Candiac's first secretary, who served for 30 years before retiring.
The foundation operates out of the Maison Hélène-Sentenne, formerly known as Maison Melançon. Over the years, this building has become an arts hub for Candiac and the surrounding community, hosting no less than 20 national festivals, 28 juried art shows, 20 solo exhibitions, six art symposiums, over 40 classical music concerts, and 30 Son et brioches concerts, not to mention countless Christmas and Valentine's Day concerts.
Today, I join all the people of Candiac in thanking and congratulating the foundation's president, Ghislaine Nivose, and her entire team for all their hard work in promoting arts and culture in the riding of La Prairie.
Long live the Fondation Hélène-Sentenne.",Liberal,La Prairie,Jean-Claude Poissant,http://www.parl.gc.ca/Parliamentarians/en/members/jean-claude-poissant(242096)
4778457,ca.proc.d.2019-05-08.10612997,2019-05-08,fa57da4d-d6e1-44ed-9449-b5b1f6361a5c,242566,"Ms. Sonia Sidhu (Brampton South, Lib.)",,Statements By Members,Brampton Cricket League,,"Mr. Speaker, I rise in the House today to recognize the work of a wonderful organization in Brampton, the Brampton Cricket League. The league promotes the game of cricket at the grassroots level. Last month it celebrated its 10th anniversary.
I am proud of the work of its president, Faraz Saleem, vice-president, Mukesh Rawat, and the entire team. Sports teach us discipline, grace and dignity. That is why I will always remain committed to supporting organizations like the Brampton Cricket League, as they work tirelessly to spread sports in our community and engage youth.
Today the reason I am wearing BCL's jersey is to promote cricket and BCL's work. As it is about to start its 2019 summer games season this weekend, I send my best wishes to the players, volunteers, supporters and the organization. I congratulate the Brampton Cricket League.",Liberal,Brampton South,Sonia Sidhu,http://www.parl.gc.ca/Parliamentarians/en/members/sonia-sidhu(242566)
