basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
4778135,ca.proc.d.2019-05-07.10604945,2019-05-07,3176068f-62ee-4b2f-aacd-1131201c6db1,214707,The Speaker,,Routine Proceedings,Auditor General of Canada,,"I have the honour to lay upon the table the 2019 spring reports of the Auditor General of Canada. Pursuant to Standing Order 108(3)(g), these documents are deemed to have been permanently referred to the Standing Committee on Public Accounts.",Liberal,Halifax West,Geoff Regan,http://www.parl.gc.ca/Parliamentarians/en/members/geoff-regan(214707)
4778136,ca.proc.d.2019-05-07.10604953,2019-05-07,07cf5767-802c-406c-92a7-7dc92af79b40,242079,"Mr. Kevin Lamoureux (Parliamentary Secretary to the Leader of the Government in the House of Commons, Lib.)",,Routine Proceedings,Government Response to Petitions,,"Mr. Speaker, pursuant to Standing Order 36(8), I have the honour to table, in both official languages, the government's response to two petitions. ",Liberal,Winnipeg North,Kevin Lamoureux,http://www.parl.gc.ca/Parliamentarians/en/members/kevin-lamoureux(242079)
4778137,ca.proc.d.2019-05-07.10605297,2019-05-07,1a1a9dee-c228-40fc-b926-42f8441d84f0,214405,"Hon. Ralph Goodale (Minister of Public Safety and Emergency Preparedness, Lib.)",,Routine Proceedings,Royal Canadian Mounted Police Act,," moved for leave to introduce Bill C-98, An Act to amend the Royal Canadian Mounted Police Act and the Canada Border Services Agency Act and to make consequential amendments to other Acts.
(Motions deemed adopted, bill read the first time and printed)",Liberal,Regina—Wascana,Ralph Goodale,http://www.parl.gc.ca/Parliamentarians/en/members/ralph-goodale(214405)
4778138,ca.proc.d.2019-05-07.10604969,2019-05-07,63894f25-ef7f-45a2-bac2-1a4ceb85b7ad,219363,"Ms. Yasmin Ratansi (Don Valley East, Lib.)",,Routine Proceedings,Interparliamentary Delegations,,"Mr. Speaker, pursuant to Standing Order 34(1), I have the honour to present, in both official languages, the report of the Canadian delegation of the Commonwealth Parliamentary Association respecting its participation at the International Executive Committee meeting held in Port Louis, Mauritius, from March 20 to 24, 2018.",Liberal,Don Valley East,Yasmin Ratansi,http://www.parl.gc.ca/Parliamentarians/en/members/yasmin-ratansi(219363)
4778139,ca.proc.d.2019-05-07.10604986,2019-05-07,711a47d7-2f48-4673-a4b1-a79126bd8e85,215926,"Mr. Ken Hardie (Fleetwood—Port Kells, Lib.)",,Routine Proceedings,Committees of the House,Fisheries and Oceans,"Mr. Speaker, I have the honour to present, in both official languages, the 21st report of the Standing Committee on Fisheries and Oceans, entitled “West Coast Fisheries: Sharing Risks and Benefits”.",Liberal,Fleetwood—Port Kells,Ken Hardie,http://www.parl.gc.ca/Parliamentarians/en/members/ken-hardie(215926)
4778140,ca.proc.d.2019-05-07.10605004,2019-05-07,95ed53a7-7538-4c0f-85a4-64af76065f95,218942,"Mr. Don Davies (Vancouver Kingsway, NDP)",,Routine Proceedings,School Food Program for Children Act,," moved for leave to introduce Bill C-446, An Act to develop a national school food program for children.
Mr. Speaker, I am pleased to rise today to introduce my bill, the school food program for children act. I would like to thank the hon. member for Berthier—Maskinongé for seconding this bill.
This proposed legislation would require the Minister of Health, in consultation with the provincial and territorial governments and other relevant stakeholders, to develop a national school food program to ensure that all children in Canada have access to healthy food. The program would operate at little or no direct cost to children or their families, build on existing school food programs across Canada, use best practices from other jurisdictions and promote evidence-based healthy food education.
In a country as prosperous as Canada, no child should have to struggle through the school day on an empty stomach. However, today, more than one and a half million children live in families who have difficulty putting food on the table. Canada remains among the few industrialized countries without a universal school food program. A national school food program will not only give every student in Canada access to nutritious food; it will make healthy eating a daily lesson for our kids.
 I hope all parliamentarians will support this important health and social justice initiative.
(Motions deemed adopted, bill read the first time and printed)",New Democratic Party,Vancouver Kingsway,Don Davies,http://www.parl.gc.ca/Parliamentarians/en/members/don-davies(218942)
4778141,ca.proc.d.2019-05-07.10605053,2019-05-07,a2d5c8bf-d42e-4b53-be9e-70af2a6fe169,217370,"Mr. Mark Strahl (Chilliwack—Hope, CPC)",,Routine Proceedings,Business of Supply,," moved:
 That, at the conclusion of today's debate on the opposition motion in the name of the Member for Carleton, all questions necessary to dispose of the motion be deemed put and a recorded division deemed requested and deferred to Wednesday, May 8, 2019, at the expiry of the time provided for Oral Questions. 
",Conservative,Chilliwack—Hope,Mark Strahl,http://www.parl.gc.ca/Parliamentarians/en/members/mark-strahl(217370)
4778142,ca.proc.d.2019-05-07.10605061,2019-05-07,3176068f-62ee-4b2f-aacd-1131201c6db1,214707,The Speaker,,Routine Proceedings,Business of Supply,,Does the hon. member have the unanimous consent of the House to move the motion?,Liberal,Halifax West,Geoff Regan,http://www.parl.gc.ca/Parliamentarians/en/members/geoff-regan(214707)
4778143,ca.proc.d.2019-05-07.p5888688,2019-05-07,,,,intervention,Routine Proceedings,Business of Supply,, Agreed.,,,Some hon. members,
4778144,ca.proc.d.2019-05-07.p5888689,2019-05-07,3176068f-62ee-4b2f-aacd-1131201c6db1,214707,The Speaker,,Routine Proceedings,Business of Supply,, The House has heard the terms of the motion. Is it the pleasure of the House to adopt the motion?,Liberal,Halifax West,Geoff Regan,http://www.parl.gc.ca/Parliamentarians/en/members/geoff-regan(214707)
