basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
4778801,ca.proc.d.2019-05-10.10621560,2019-05-10,86fed1de-3861-4448-8242-ad414073ef2e,246421,Hon. Joyce Murray,,Government Orders,Oceans Act,," moved:
 That a message be sent to the Senate to acquaint Their Honours that, in relation to Bill C-55, An Act to amend the Oceans Act and the Canada Petroleum Resources Act, the House proposes that amendment 1 be amended by replacing the text of the amendment with the following text: 
 (4) If an order is made under subsection (2), the Minister shall publish, in any manner that the Minister considers appropriate, a report 
 (a) indicating the area of the sea designated in the order; 
 (b) summarizing the consultations undertaken prior to making the order; and 
 (c) summarizing the information that the Minister considered when making the order, which may include environmental, social, cultural or economic information. 
",Liberal,Vancouver Quadra,Joyce Murray,http://www.parl.gc.ca/Parliamentarians/en/members/joyce-murray(246421)
4778802,ca.proc.d.2019-05-10.10621494,2019-05-10,e44116f8-75a8-4ca6-9ba5-fe968dbd42b0,242061,"Mr. Sean Casey (Parliamentary Secretary to the Minister of Fisheries, Oceans and the Canadian Coast Guard, Lib.)",,Government Orders,Oceans Act,,"Madam Speaker, it is my pleasure today to speak about Bill C-55, an act to amend the Oceans Act and the Canada Petroleum Resources Act. The bill would help protect our marine and coastal areas, and it would bring us closer to our 10% marine conservation target by the end of 2020.
Before I get into the substance of the amendment and the bill, I would like to thank the sponsor of the bill in the other place. I know that it is because of her passion for protecting our marine and coastal areas that we are here today debating the bill before we can see it pass and in action providing interim protection for our oceans.
While we commend the work of members of the other place and the important discussions that took place when the bill was under consideration in the other chamber, we are unable to support the amendments that were made at committee and subsequently passed.
However, in debating the motion today, we are proposing an amendment that we believe would capture the intent of the amendment from the other place. The proposed amendment would, first, in line with the amendment on geographical location, require that the geographical location of a proposed area for interim protection be published when an order was made, along with other information relevant and necessary to the order. 
Second, as we have maintained, the amendment on consultations by the member of the other place representing Nunavut is indeed already covered by existing legislation and regulations. That is why our amendment proposes to require that consultations undertaken to establish the interim protection MPA be published upon an order being made. We have said repeatedly that consultations are required, so now the government would ensure that we showed that consultations had taken place for the interim protection MPA to be established in the first place.
 Discussions in the other place looked at the importance of consultation and engagement, which will continue to be the foundation for establishing all marine protected areas, or MPAs, now and in the future.
Bill C-55 does not weaken our commitment to develop MPAs in collaboration with governments, partners, stakeholders and the public. This bill does not take shortcuts in establishing MPAs. It does not eliminate any steps. In fact, it provides new tools to make sure we are protecting more of our marine environment.
As members know, the purpose of the bill is to allow the optional use of a new mechanism to provide interim protection for an ecologically sensitive marine area and to freeze the footprint of activities in the area following initial science and consultations with our many partners and stakeholders. This freeze on ongoing activities would be in place for five years, during which additional science and consultations would continue as part of the process to establish a permanent marine protected area.
The proposed ability to provide interim protection is a common-sense approach that would respond to the reality that during the seven to 10 years it takes to establish an MPA, nothing is protected. With the new interim protection provision, some measure of protection would be provided, in the spirit of the precautionary approach.
The bill would also modernize enforcement powers, which would bring the act in line with other environmental legislation. These new powers would be important for ensuring the effectiveness of our 13 current marine protected areas and for meeting each of their conservation objectives.
The discussion in the other place on amendments focused predominantly on, one, ensuring that communities most affected were part of the consultation process, and two, fulfilling our duty to consult with indigenous peoples, as required under section 35 of the Constitution.
I would like to assure members of this chamber that our government takes both of these requirements very seriously. Engagement, consultations and consideration of socio-economic information and traditional knowledge are fundamental cornerstones to establishing marine protected areas and, indeed, for interim protection under this bill.
I commend the members of the other place for their commitment to these issues and for ensuring that their regions are well represented in the debate on Bill C-55.
We consult and collaborate with a wide range of governments and marine resource users as well as other stakeholders, experts and the public at various stages, including the following: at the outset, to select an area of interest; when gathering information needed about the ecological importance of a sensitive marine area, the socio-economic conditions related to the area and any current or planned activities that may be of concern; when identifying initial boundaries and conservation objectives for an area based on the best available science, including traditional and local knowledge and a risk analysis; and when developing a proposed regulatory approach and studying the benefits and costs of such an approach. There is also a 30-day public comment period when the regulations are pre-published in the Canada Gazette. We consult on an ongoing basis to provide input to the development of the management plan for an area, and of course, MPAs are collaboratively managed with local partners once designated. Furthermore, sections 29 to 33 of the current Oceans Act explicitly outline required consultations. 
As pointed out by the sponsor of the bill in the other place, based on an analysis by Professor Nigel Bankes, from the University of Calgary, the change proposed by the member of the other place representing Nunavut is a piecemeal amendment that is counter to the spirit and intent of the proposed interim protection provision. It would only serve to slow down a process where the objective is to do quite the opposite, which is to provide early protection to areas on an interim basis and following the precautionary approach.
Senator Patterson’s amendment and, indeed, his explanation are based on the need to ensure that consultations take place. As I previously stated, sections 29 to 33 in the Oceans Act already provide for this, and all legislation must respect section 35 of the Constitution.
Furthermore, an amendment put forth by the member for Nunavut, which is based on a request from Nunavut Tunngavik Inc. and supported by the Qikiqtani Inuit Association, was passed by the House committee and would ensure that all interim protection orders would be consistent with existing land claim agreements. Therefore, I respectfully suggest that the amendment from the member of the other place is unnecessary. As Professor Bankes stated, it would add requirements to establishing interim protections that are greater than what is required when establishing a permanent MPA and would curtail the application of the precautionary approach. 
Professor Bankes writes:
 since the amendment is only proposed to apply to the creation of MPAs by ministerial order and not to the process of creating an MPA by Order in Council and regulation, it will arguably be more difficult to use the ministerial order process than the MPA by regulation process. 
I hope members will agree that this is neither logical nor consistent with the purpose of the bill. As the parliamentary secretary on this file, it is my view that we cannot continue to allow areas of ecological significance to go unprotected. This bill helps to achieve that without shortchanging consultations with provinces and territories, indigenous peoples, coastal communities and stakeholders.
Many members will recall that in 2012, the commissioner of the environment and sustainable development commented on the slow pace of establishing marine protected areas in Canadian waters. The report stated:
 During the 20 years since Canada ratified the United Nations Convention on Biological Diversity, 10 federal MPAs have been established by Fisheries and Oceans Canada and Parks Canada as part of their marine protected area programs. Federal, provincial and territorial governments and non-governmental organizations are collectively protecting about 1 percent of Canada's oceans and Great Lakes through MPAs. At the current rate of progress, it will take many decades for Canada to establish a fully functioning MPA network and achieve the target established in 2010 under the United Nations Convention on Biological Diversity to conserve 10 percent of marine areas. 
It is worth noting that we have come a long way over the past four years since our government took office in that we have increased our marine protected and coastal areas from less than 1% to over 8%.
 However, the process continues to remain long and comprehensive. It still takes years to establish an MPA, but under Bill C-55, we have an opportunity to provide early protection for sensitive and ecologically significant areas that support the health of our oceans and the coastal communities that depend on them. 
The report by the commissioner of the environment and sustainable development also identified the following factors that affected the rate of progress in creating MPAs: prolonged jurisdictional negotiations, including unresolved land claims; a poor understanding by Canadians of the environmental and socio-economic benefits of MPAs; delays in the approval process; lengthy legislative and regulatory processes; and the competing interests of stakeholders.
In terms of the latter point, I will refer to a letter submitted by the QIA, which represents over 15,000 Inuit, regarding the need to ensure that the interim designation process respects the rights of the Inuit. The letter expresses QIA's opposition to Senator Patterson's amendment.
 President Akeeagok writes:
 The further proposed amendment under consideration...would require the Minister to hold an additional public comment and consultation period before issuing an interim MPA order. We are concerned that this proposed amendment risks undermining the actualization of Inuit rights by conflating the requirement to uphold the rights of Inuit with a broader engagement with the interests of stakeholders. The current version of Bill C-55, sets out the appropriate hierarchy. 
West Coast Environmental Law also spoke out against the amendment in its letter dated March 20, 2019. It states:
 The proposed amendment would require the Minister to hold a public comment and consultation period before issuing an interim MPA order. We are concerned that this proposed amendment is redundant and, at worst, risks defeating the purpose of the interim MPA order. 
Their letter also emphasizes that aboriginal rights and indigenous interests are, indeed, protected by the government’s constitutional obligations and the Oceans Act.
As mentioned earlier, I believe this amendment represents a piecemeal effort to improving consultations and, rather than adding value to the process, is redundant and only serves one single section of the bill.
As Professor Bankes put it:
 The result of this amendment, if adopted, will be to create a stand-alone set of consultation provisions with respect to a single section and a single power within the statute. This is not a logical approach to address and improve the standard of consultation, nor an approach that will provide certainty with respect to consultation. It will simply beg more questions than it answers with respect to issues such as what the rules are (or should be) with respect to other powers within this same statute. 
I would also like to speak to the redundancy of the amendment regarding the requirement to post the approximate geographical location of a proposed protected area on the DFO website and to make a preliminary assessment of any habitat or species in that area before making an order for interim protection. Let me explain some of the reasons this is redundant.
We already meet the requirement to clearly identify and provide public information on the proposed boundaries for an area to be protected as well as details on the area’s important ecological features, such as its habitat and species. 
Developing and making this information available to the public is already required under the federal regulatory process, as outlined in the Statutory Instruments Act and the Cabinet Directive on Regulations. 
Marine protected areas are a globally and scientifically proven way to protect marine biodiversity and preserve special marine features. They also help restore our natural capital for the benefit of future generations, supporting the long-term sustainable use of our marine resources and the economic benefits this protection provides. This in turn has a direct and positive impact on coastal communities which rely on healthy oceans.
In short, marine conservation is an essential and integral part of long-term economic planning and helps us better prepare for the impacts of climate change. However, all of this is a moot point if we do not have the right mechanisms in place to establish marine protected areas in a more timely fashion both when and where it is needed. It is simply not acceptable to wait seven to 10 years to protect ecologically sensitive areas in our ocean.
 Climate change, global warming and ocean acidification mean that time is no longer on our side, which is why our government has gone to great lengths and held extensive consultations to amend the Oceans Act. I submit that the two amendments put forward by the other place, while right in their intent, will actually hinder the work that needs to be done to protect our marine and coastal areas.
As such, we respectfully reject the amendment by the Senate and propose that an amendment that we believe fulfills the intent of the Senate amendment is accepted. This will help us protect our oceans in a more timely manner while we continue to consult with Canadians, apply the precautionary approach and make scientifically informed decisions. 
I trust we can move forward with these important measures that are designed to protect our oceans and coasts for the benefit of all Canadians.",Liberal,Charlottetown,Sean Casey,http://www.parl.gc.ca/Parliamentarians/en/members/sean-casey(242061)
4778803,ca.proc.d.2019-05-10.10621518,2019-05-10,4437c848-d8c7-4a39-a948-1539969f3a90,234764,"Ms. Marilyn Gladu (Sarnia—Lambton, CPC)",,Government Orders,Oceans Act,,"Madam Speaker, it is no surprise to me that the Liberal government will not accept any of the amendments from the Senate, because this is how it always goes. I am not sure why we delay bills by a year, sending them over to the other place, when we always do to not accept its amendments. It seems like a waste of time.
I want to talk about the part of the legislation that would give the government powers to declare areas of interest. In Sarnia—Lambton, we have a number of areas of interest that we have made huge progress in cleaning up and blue flag status is back for the waters, etc. However, under the government, it has consolidated us with the Niagara region and cut the funding so we are basically stalled with respect to the progress. 
Why does the member think the bill will be good when the government can, without any evidence whatsoever, create new areas of interest when it has not addressed the ones that exist already?",Conservative,Sarnia—Lambton,Marilyn Gladu,http://www.parl.gc.ca/Parliamentarians/en/members/marilyn-gladu(234764)
4778804,ca.proc.d.2019-05-10.10621520,2019-05-10,e44116f8-75a8-4ca6-9ba5-fe968dbd42b0,242061,Mr. Sean Casey,,Government Orders,Oceans Act,,"Madam Speaker, there are a couple of parts to that question. First, the amendments that were brought forward by the Senate were clearly well-intentioned. The result of those amendments is that the government has proposed an amendment that is consistent with the spirit of the Senate. The slur against the Senate that it is constantly bypassed by the government is not a fair one.
With respect to the identification of areas of interest, these are the subject of a rigorous process, a science and evidence-based process. Once an area of interest is identified, there is extensive opportunity for consultation before any step is taken subsequent to that. The indication that this is somehow arbitrary and immediate is disingenuous.",Liberal,Charlottetown,Sean Casey,http://www.parl.gc.ca/Parliamentarians/en/members/sean-casey(242061)
4778805,ca.proc.d.2019-05-10.10621523,2019-05-10,eaa6694f-1e20-4aae-ad3b-e694b0e12c59,224170,"Ms. Elizabeth May (Saanich—Gulf Islands, GP)",,Government Orders,Oceans Act,,"Madam Speaker, I want to put on the record that I will vote for Bill C-55, the Oceans Act, as it comes back to this place. 
This is probably my only opportunity to say something I have been wanting to say for awhile, which is that we owe so much to the former minister of fisheries, the member for Parliament for Beauséjour. He worked hard to fix the Fisheries Act, Bill C-68, which I hope gets back to this place soon so we can pass it. I hope it passes in the Senate unamended. 
We need Bill C-68 as quickly as possible. We need Bill C-55. Constituents have contacted me, asking me to vote for the Oceans Act, and I will.
 However, I wanted to take a moment in the House to extend my best wishes and constant prayers for my friend, the member of Parliament for Beauséjour, the current Minister of Intergovernmental and Northern Affairs and Internal Trade. I thank him for his work. I also thank the current Minister of Fisheries. This is important legislation and I am really pleased to see it have full support of the government. ",Green Party,Saanich—Gulf Islands,Elizabeth May,http://www.parl.gc.ca/Parliamentarians/en/members/elizabeth-may(224170)
4778806,ca.proc.d.2019-05-10.10621525,2019-05-10,e44116f8-75a8-4ca6-9ba5-fe968dbd42b0,242061,Mr. Sean Casey,,Government Orders,Oceans Act,,"Madam Speaker, we, too, are very grateful to have someone of the calibre of the member for Beauséjour in our caucus and are fully aware of the substantial contributions he made while serving as the minister of fisheries, oceans and the Canadian coast guard. 
We share the anticipation of the hon. member with respect to the return of Bill C-68 to the House and the speedy passage of Bill C-55, and are grateful for her support in this regard.",Liberal,Charlottetown,Sean Casey,http://www.parl.gc.ca/Parliamentarians/en/members/sean-casey(242061)
4778807,ca.proc.d.2019-05-10.10621528,2019-05-10,330c0119-cf49-4e85-9407-539367825c2b,234610,"Mr. Chris Bittle (St. Catharines, Lib.)",,Government Orders,Oceans Act,,"Madam Speaker, I thank the hon. parliamentary secretary for showing how the government is working with the Senate to enact amendments that are within the spirit of that. However, could he expand on what his constituents are saying?
 Being from Prince Edward Island, clearly his constituents have a great stake in the protection of our oceans. Could he talk about what he is hearing back home?",Liberal,St. Catharines,Chris Bittle,http://www.parl.gc.ca/Parliamentarians/en/members/chris-bittle(234610)
4778808,ca.proc.d.2019-05-10.10621530,2019-05-10,e44116f8-75a8-4ca6-9ba5-fe968dbd42b0,242061,Mr. Sean Casey,,Government Orders,Oceans Act,,"Madam Speaker, Canadians in general, and Prince Edward Islanders in particular, care about the health of our oceans. They care about biodiversity. They care about conservation.
Any and all measures we take to be a responsible, international partner with respect to marine protected areas and marine conservation targets are well received by a place like Prince Edward Island. Our very livelihood, our social fabric is inextricably intertwined with the health of our oceans. Therefore, this is important to Prince Edward Islanders, as it is to so many in coastal communities. ",Liberal,Charlottetown,Sean Casey,http://www.parl.gc.ca/Parliamentarians/en/members/sean-casey(242061)
4778809,ca.proc.d.2019-05-10.10621534,2019-05-10,6da8653f-692f-4bbc-acb2-86e088f0d60d,219035,"Mr. Pierre Nantel (Longueuil—Saint-Hubert, NDP)",,Government Orders,Oceans Act,,"Madam Speaker, I would like to thank my colleague for his speech.
I am not an expert in these matters, but, like everyone else, I am very worried about global warming.
How can we even think of allowing oil and gas exploration in marine protected areas?
We would never dream of putting an oil well or a tar sands development in a national park. There is even talk of asking Alberta to slow production or clean up the process so it pollutes less. I think the whole idea is preposterous. 
Why are we still talking about this?",New Democratic Party,Longueuil—Saint-Hubert,Pierre Nantel,http://www.parl.gc.ca/Parliamentarians/en/members/pierre-nantel(219035)
4778810,ca.proc.d.2019-05-10.10621541,2019-05-10,e44116f8-75a8-4ca6-9ba5-fe968dbd42b0,242061,Mr. Sean Casey,,Government Orders,Oceans Act,,"Madam Speaker, I thank my colleague for his question. 
As the hon. member knows, a group of experts made recommendations about rules governing marine protected areas. Those parts of marine protected areas already being used for exploration will not be counted toward the internationally recognized targets. 
We are taking this seriously. It is very important to have a strong economy and a healthy environment. It is possible to strike a balance between the two, and that is very important to our government.
It is important to understand the rules governing marine protected areas.",Liberal,Charlottetown,Sean Casey,http://www.parl.gc.ca/Parliamentarians/en/members/sean-casey(242061)
