basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
4778688,ca.proc.d.2019-05-09.10615205,2019-05-09,3176068f-62ee-4b2f-aacd-1131201c6db1,214707,The Speaker,,Routine Proceedings,Commissioner of Official Languages,,"I have the honour, pursuant to section 66 of the Official Languages Act, to lay upon the table the annual report of the Commissioner of Official Languages, covering the period from April 1, 2018, to March 31, 2019.
Pursuant to Standing Order 108(3)(f), this report is deemed to have been permanently referred to the Standing Committee on Official Languages.",Liberal,Halifax West,Geoff Regan,http://www.parl.gc.ca/Parliamentarians/en/members/geoff-regan(214707)
4778689,ca.proc.d.2019-05-09.10615213,2019-05-09,07cf5767-802c-406c-92a7-7dc92af79b40,242079,"Mr. Kevin Lamoureux (Parliamentary Secretary to the Leader of the Government in the House of Commons, Lib.)",,Routine Proceedings,Government Response to Petitions,,"Mr. Speaker, pursuant to Standing Order 36(8) I have the honour to table, in both official languages, the government's response to eight petitions. ",Liberal,Winnipeg North,Kevin Lamoureux,http://www.parl.gc.ca/Parliamentarians/en/members/kevin-lamoureux(242079)
4778690,ca.proc.d.2019-05-09.10615219,2019-05-09,89dabae0-bc5d-4af0-babb-7104d4ee1742,219699,"Hon. Larry Bagnell (Yukon, Lib.)",,Routine Proceedings,Committees of the House,Procedure and House Affairs,"Pursuant to Standing Orders 104 and 114, I have the honour to present, in both official languages, the 93rd report of the Standing Committee on Procedure and House Affairs regarding the membership of committees of the House, and I would like to move concurrence in the report now.",Liberal,Yukon,Larry Bagnell,http://www.parl.gc.ca/Parliamentarians/en/members/larry-bagnell(219699)
4778691,ca.proc.d.2019-05-09.10615229,2019-05-09,3176068f-62ee-4b2f-aacd-1131201c6db1,214707,The Speaker,,Routine Proceedings,Committees of the House,Procedure and House Affairs,Does the hon. member have the unanimous consent of the House to move the motion?,Liberal,Halifax West,Geoff Regan,http://www.parl.gc.ca/Parliamentarians/en/members/geoff-regan(214707)
4778692,ca.proc.d.2019-05-09.p5899125,2019-05-09,,,,intervention,Routine Proceedings,Committees of the House,Procedure and House Affairs, Agreed.,,,Some hon. members,
4778693,ca.proc.d.2019-05-09.p5899126,2019-05-09,3176068f-62ee-4b2f-aacd-1131201c6db1,214707,The Speaker,,Routine Proceedings,Committees of the House,Procedure and House Affairs, The House has heard the terms of the motion. Is it the pleasure of the House to adopt the motion?,Liberal,Halifax West,Geoff Regan,http://www.parl.gc.ca/Parliamentarians/en/members/geoff-regan(214707)
4778694,ca.proc.d.2019-05-09.p5899127,2019-05-09,,,,intervention,Routine Proceedings,Committees of the House,Procedure and House Affairs, Agreed.,,,Some hon. members,
4778695,ca.proc.d.2019-05-09.p2,2019-05-09,3176068f-62ee-4b2f-aacd-1131201c6db1,214707,The Speaker,,Routine Proceedings,Committees of the House,Procedure and House Affairs,(Motion agreed to),Liberal,Halifax West,Geoff Regan,http://www.parl.gc.ca/Parliamentarians/en/members/geoff-regan(214707)
4778696,ca.proc.d.2019-05-09.10615232,2019-05-09,b41c3b7e-c64f-4415-9f58-79d7462e5d8e,237464,"Mr. Peter Julian (New Westminster—Burnaby, NDP)",,Routine Proceedings,Petitions,Children's Welfare,"Mr. Speaker, it is my pleasure to present, on behalf of Elizabeth Fry Society activists across the country, a petition with several hundred names from New Brunswick.
 The petitioners, joining thousands of other Canadians, request that the Government of Canada recognize the barriers that exist within their own direct payment system. The federal government currently discriminates against children who are in irregular family situations, irregular meaning their parents may be homeless or incarcerated. They may be being raised by extended members of the family.
The petitioners from Elizabeth Fry Society request, which celebrates its anniversary this week, that discrimination end when it comes to the Canada child benefit and all special allowances for all children. 
As my colleagues know, the Elizabeth Fry Society does good work across the country. I am very happy to present this petition that would end discrimination against children in all its forms in federal government services.",New Democratic Party,New Westminster—Burnaby,Peter Julian,http://www.parl.gc.ca/Parliamentarians/en/members/peter-julian(237464)
4778697,ca.proc.d.2019-05-09.10615246,2019-05-09,eaa6694f-1e20-4aae-ad3b-e694b0e12c59,224170,"Ms. Elizabeth May (Saanich—Gulf Islands, GP)",,Routine Proceedings,Petitions,Trans Mountain Pipeline,"Mr. Speaker, it is an honour to rise this morning with a petition signed by residents throughout Saanich—Gulf Islands.
The petitioners call on the Government of Canada to halt any plans to purchase the Trans Mountain pipeline, and I know we do not speak to the substance. Clearly, this petition speaks to an issue that has been resolved. I can imagine the petitioners would hope that we do not proceed with any expansion. ",Green Party,Saanich—Gulf Islands,Elizabeth May,http://www.parl.gc.ca/Parliamentarians/en/members/elizabeth-may(224170)
