basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
4779383,ca.proc.d.2019-05-15.10633330,2019-05-15,3176068f-62ee-4b2f-aacd-1131201c6db1,214707,The Speaker,,,,,"It being Wednesday, we will have the singing of O Canada led by the hon. member for Niagara Falls.
[Members sang the national anthem]",Liberal,Halifax West,Geoff Regan,http://www.parl.gc.ca/Parliamentarians/en/members/geoff-regan(214707)
4779384,ca.proc.d.2019-05-15.10633343,2019-05-15,a80d5459-3c49-4ef6-bf76-533dac6290b0,219849,"Mr. Raj Grewal (Brampton East, Ind.)",,Statements By Members,Toronto Raptors,,"Mr. Speaker, 25 years ago today, Toronto's NBA franchise officially became the Toronto Raptors. Ever since then, the sport of basketball has been growing rapidly across our great nation.
We may all have our differences when it comes to the sport of hockey, but we are all united by our passion for the Toronto Raptors: 5.8 million Canadians watched game seven on Sunday night, and it did not disappoint. With four seconds left on the shot clock, Kawhi Leonard hit the game-winning shot to send our team to the eastern conference finals.
Tonight is game one, and I want to encourage all my hon. colleagues to watch the game and wish our team well. Let us go, Raptors; We the North.",Independent,Brampton East,Raj Grewal,http://www.parl.gc.ca/Parliamentarians/en/members/raj-grewal(219849)
4779385,ca.proc.d.2019-05-15.10633348,2019-05-15,af4d6069-8435-4361-9a6f-d38c96e9d50a,215916,"Mr. Francesco Sorbara (Vaughan—Woodbridge, Lib.)",,Statements By Members,BOLT,,"Mr. Speaker, 342 scholarships, 80 apprenticeships, resulting in 63 job placements and counting is exactly what BOLT, Building Opportunities for Life Today, set out to do.
 It is creating an opportunity for under-resourced youth by connecting them to careers in construction. This Tridel initiative is a perfect example of how industry, government and unions come together to address two critical issues facing Canadians: youth unemployment and the need for young adults to enter the skilled trades.
 Since 2007, BOLT has raised over $3 million by creating awareness in supporting education and training to secure youth employment in the construction industry.
BOLT is a powerful program with a proven track record. It changes lives and creates a better future for our youth.
I encourage my colleagues to join me in applauding this extraordinary program and thanking Tridel for its boundless generosity in supporting youth while creating jobs in one of our country's key economic sectors.",Liberal,Vaughan—Woodbridge,Francesco Sorbara,http://www.parl.gc.ca/Parliamentarians/en/members/francesco-sorbara(215916)
4779386,ca.proc.d.2019-05-15.10633351,2019-05-15,831322ab-9fa6-437e-92ba-1b4525f8242d,242429,"Mr. Pat Kelly (Calgary Rocky Ridge, CPC)",,Statements By Members,Seniors,,"Mr. Speaker, Canadians are appalled by criminals who target seniors. That is why I rise today to raise awareness of seniors abuse and in support of Bill C-206, an act to amend the Criminal Code, abuse of vulnerable persons. Whether from telephone or online scams, forgery, identity theft or misplaced trust, seniors are vulnerable.
 I know how easily elderly Canadians can become victims of financial abuse. My grandfather and his companion were victims of fraud committed by a caregiver. It happened during the final months of my grandfather's life and, sadly, he did not live to see the perpetrator punished.
 Bill C-206 would make the age of the victim, and exploitation for financial gain, aggravating factors that must be considered at sentencing. Tougher sentences for cowardly criminals who prey on the vulnerable will send a strong signal that Canadians do not tolerate the abuse of seniors.
 I urge all members to support Bill C-206.",Conservative,Calgary Rocky Ridge,Pat Kelly,http://www.parl.gc.ca/Parliamentarians/en/members/pat-kelly(242429)
4779387,ca.proc.d.2019-05-15.10633355,2019-05-15,726008a1-cf4f-46b2-ad5c-1503f936671b,243785,"Mr. Doug Eyolfson (Charleswood—St. James—Assiniboia—Headingley, Lib.)",,Statements By Members,Manito Ahbee Festival,,"Mr. Speaker, it is my pleasure to extend a warm welcome to all participating and attending the 14th annual Manito Ahbee Festival in Winnipeg.
 The Manito Ahbee Festival brings people together from across Canada and from around the world to experience the very best in indigenous music, art and culture in an effort to unify, educate and inspire.
 The festival will start today with the lighting of the sacred fire at the Oodena Circle at the Forks and includes a friendship dance to welcome everyone attending. This wonderful celebration offers all Canadians the opportunity to honour and develop a deeper understanding of indigenous culture and heritage and to celebrate its importance in Canada's multicultural mosaic.
 We thank all the organizers for their hard work and dedication to making this event a success.
 I would also like to extend my best wishes for an enjoyable and memorable festival for all.",Liberal,Charleswood—St. James—Assiniboia—Headingley,Doug Eyolfson,http://www.parl.gc.ca/Parliamentarians/en/members/doug-eyolfson(243785)
4779388,ca.proc.d.2019-05-15.10633359,2019-05-15,cedf1659-ebb1-4f26-b723-5c7c5353988b,214948,"Mrs. Carol Hughes (Algoma—Manitoulin—Kapuskasing, NDP)",,Statements By Members,Wikwemikong High School,,"Mr. Speaker, students from the high school on Wiikwemkoong Unceded Territory are proving that people do not have to come from a big place to do great things.
 With help from teacher-mentor Chris Mara, a 2018 Prime Minister's Award for Teaching Excellence recipient, 20 students competed as one of only five Canadian teams at the first championship robotics competition that brought together teams from around the globe.
 The students from the Wikwemikong High School first robotics team 5672 travelled to Detroit in April to compete against 600 teams. They capped their inspirational journey by being one of three teams short-listed for the prestigious Chairman's Award, which recognizes the impact teams have on their community and region.
 Although the Manitoulin team was among the smallest competing, it was buoyed by support it received from its own community and across Canada. It was clear its outreach in nearby communities and through social media set it apart.
 Please join me in congratulating these amazing students, whose youthful leadership makes us so proud, and in thanking all those who supported them on their amazing run.",New Democratic Party,Algoma—Manitoulin—Kapuskasing,Carol Hughes,http://www.parl.gc.ca/Parliamentarians/en/members/carol-hughes(214948)
4779389,ca.proc.d.2019-05-15.10633363,2019-05-15,f8d9db71-b5f5-4e2f-977c-0ad80169e2a6,215856,"Mr. Angelo Iacono (Alfred-Pellan, Lib.)",,Statements By Members,Laval Seniors' Association,,"Mr. Speaker, seniors across Canada deserve to be recognized for their contributions and their involvement. We also need to acknowledge the important work of associations and organizations that ensure seniors' well-being.
Today I would like to talk about the Association pour aînés résidant à Laval, APARL, which is celebrating its 45th anniversary. Since 1974, in good times and bad, APARL has been there to provide services and resources that support seniors' independence and quality of life. APARL is a community hub that offers a plethora of activities to help seniors overcome isolation.
I would like to thank APARL for 45 years of serving seniors, for being involved in our community, and for making a real difference.",Liberal,Alfred-Pellan,Angelo Iacono,http://www.parl.gc.ca/Parliamentarians/en/members/angelo-iacono(215856)
4779390,ca.proc.d.2019-05-15.10633366,2019-05-15,33ef2052-c37d-446f-9d03-515d01591eba,217551,"Mr. Larry Maguire (Brandon—Souris, CPC)",,Statements By Members,Vyshyvanka Day,,"Mr. Speaker, I rise to congratulate Canadians of Ukrainian heritage as well as all Ukrainians around the world on the occasion of the Vyshyvanka Day. Every year as we mark this day, we acknowledge the importance of Ukrainian embroidery as a symbol of unity.
 Today and in the coming weeks, Canadians of Ukrainian heritage will wear their embroidered shirts to remind one another of the struggles they had to overcome to establish an independent state, which Canada was the first to recognize. 
Vyshyvanka unites all Ukrainians living at home and abroad. It serves as an important reminder of the ongoing challenges Ukraine is facing today. We will always stand with the people of Ukraine in their struggle for sovereignty and territorial integrity, and we will never recognize the illegal annexation of Crimea and occupation of Donbass.
On behalf of Canada's Conservatives, I thank all members of the Ukrainian community in Canada for organizing and taking part in the multiple events commemorating this special day.
Happy Vyshyvanka Day.",Conservative,Brandon—Souris,Larry Maguire,http://www.parl.gc.ca/Parliamentarians/en/members/larry-maguire(217551)
4779391,ca.proc.d.2019-05-15.10633419,2019-05-15,fa57da4d-d6e1-44ed-9449-b5b1f6361a5c,242566,"Ms. Sonia Sidhu (Brampton South, Lib.)",,Statements By Members,Infrastructure,,"Mr. Speaker, I rise today in the House to talk about the wonderful work being done by our government.
 Since 2015, one million new jobs have been created across Canada, better than advertised. Almost 57,000 seniors are out of poverty. Almost 300,000 fewer children are lifted out of poverty as well.
However, for infrastructure, Doug Ford has stood in the way of us helping Ontarians.
Since 2018, we have $11 billion committed to Ontario. However, construction season is starting and the Doug Ford Conservatives are not taking the steps needed. Instead, they are busy spending taxpayer dollars on political ads.
Brampton needs its fair share of infrastructure investment. I urge the Ford Conservatives to think of all Ontarians, including Bramptonians, and do what is right to—",Liberal,Brampton South,Sonia Sidhu,http://www.parl.gc.ca/Parliamentarians/en/members/sonia-sidhu(242566)
4779392,ca.proc.d.2019-05-15.10633370,2019-05-15,3176068f-62ee-4b2f-aacd-1131201c6db1,214707,The Speaker,,Statements By Members,Infrastructure,,The hon. member for Montarville.,Liberal,Halifax West,Geoff Regan,http://www.parl.gc.ca/Parliamentarians/en/members/geoff-regan(214707)
