basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
4777820,ca.proc.d.2019-05-06.p5887506,2019-05-06,,,,stagedirection,Private Members' Business,Canada Elections Act,,"The House resumed from February 21 consideration of the motion that Bill C-406, An Act to amend the Canada Elections Act (foreign contributions), be read the second time and referred to a committee.",,,,
4777821,ca.proc.d.2019-05-06.10599755,2019-05-06,3176068f-62ee-4b2f-aacd-1131201c6db1,214707,The Speaker,,Private Members' Business,Canada Elections Act,,"Before we resume debate, I will inform the hon. member for Mégantic—L'Érable that he has six minutes and 15 seconds remaining for his speech.
The hon. member for Mégantic—L'Érable.",Liberal,Halifax West,Geoff Regan,http://www.parl.gc.ca/Parliamentarians/en/members/geoff-regan(214707)
4777822,ca.proc.d.2019-05-06.10599756,2019-05-06,64cec702-209d-4f03-bb85-1943f635d077,216762,"Mr. Luc Berthold (Mégantic—L'Érable, CPC)",,Private Members' Business,Canada Elections Act,,"Mr. Speaker, I would like to start with a little background. Bill C-406, which was introduced by my colleague from Red Deer—Lacombe, seeks to prohibit foreign companies, organizations and countries from participating in Canada's electoral debate. It complements Bill C-76, which has been studied by the House and by the other place.
I think everyone can agree that Canada's elections need to be decided by Canadians. Voting is important. It gives Canadians a means to express themselves and choose their leaders for the next few years as well as their vision for the country.
 Sadly, over the past few years, we have seen a growing trend of foreign entities attempting to influence the electoral process in Canada. It happened in 2015, and it will happen again in 2019 unless something is done. That is why I salute my colleague from Red Deer—Lacombe for his foresight in introducing Bill C-406 to counteract that foreign influence.
 Jean-Pierre Kingsley, Canada's chief electoral officer from 1990 to 2007, was very clear. He summed up nicely why we must not allow foreign organizations to influence our elections in Canada. He said, and I quote:
 We simply cannot allow any kind of money that is not Canadian to find its way into the Canadian electoral system.... A general election is a national event, it's not an international event and foreign interests have no place and for them to have found a back door like this, that is not acceptable to Canadians. 
Former Canadian Security Intelligence Service director and national security adviser Richard Fadden confirmed that it was very likely that foreign countries had attempted to influence the 2015 general election.
Here are a few examples of what happened. The Tides Foundation, which is based in the United States, donated more than $1.5 million to numerous different third-party organizations in Canada. Leadnow, one such third-party organization that was one of the most active third parties in the last election, attributes more than 17% of its funding to foreign sources. That is unacceptable. How can we tolerate people doing indirectly what they are not allowed to do directly? That is exactly the kind of foreign influence that Bill C-406 seeks to prevent.
Recently, the Minister of Foreign Affairs commented to the media about the risk of foreign interference in the upcoming election:
 We are very concerned. Our judgment is that interference is very likely and we think there have probably already been efforts by malign foreign actors to disrupt our democracy. 
 She noted that various foreign bodies have attempted to interfere, and we know of several examples. The Prime Minister himself said that, over the past number of years, we have seen an increase in the interference or the implication of foreign actors in democratic processes using divisive social media campaigns. He added the following: 
 The election that's coming up in six months will be decided by Canadians. We're going to work very hard with all the intelligence communities and our partners around the world to ensure that our democracies stay strong for all the different voices that express themselves within it. 
The government has an opportunity to work not with security intelligence agencies but with the official opposition to make a decision about eliminating the possibility of foreign actors interfering in our system. 
It is great to see what is happening on social media and to fight fake news, but Bill C-406 gives us an opportunity to take direct and immediate action before the next election and to make sure that money raised outside the election period will not be used during the upcoming election campaign. This is an urgent matter because we do not want the outcome of our country's election next October to be swayed by foreign interests. 
 At the request of one of our colleagues, the member for St. Albert—Edmonton, the Commissioner of Canada Elections did investigate the matter of foreign entities trying to influence our elections. My colleague noted that pursuant to subsection 359(4) of the act, there is no requirement for a registered third party to report to Elections Canada funds used for election advertising if those funds were received outside the period beginning six months before the issue of the writ and ending on election day. 
This is a serious loophole that must be corrected, and that is why I am reaching out to the government, just as it reached out to security intelligence agencies, to ensure that we can all work together to prevent foreign entities from exerting any influence whatsoever on the upcoming October 21 election.
I urge the government to help move this bill through for further study at committee. Once again, I thank my colleague from Red Deer—Lacombe for his excellent work in identifying this loophole, on behalf of all Canadians who believe in our democracy.",Conservative,Mégantic—L'Érable,Luc Berthold,http://www.parl.gc.ca/Parliamentarians/en/members/luc-berthold(216762)
4777823,ca.proc.d.2019-05-06.10599760,2019-05-06,330c0119-cf49-4e85-9407-539367825c2b,234610,"Mr. Chris Bittle (St. Catharines, Lib.)",,Private Members' Business,Canada Elections Act,,"Madam Speaker, I am pleased to rise today on the second reading of debate of Bill C-406. This bill was introduced by the member for Red Deer—Lacombe in June of 2018, and seeks to amend the Canada Elections Act to prohibit foreign contributions to third parties for election advertising purposes.
This bill is no longer necessary, as our government has taken important steps in solving that issue that Bill C-406 seeks to address. For context, in June of 2017, the Standing Committee on Legal and and Constitutional Affairs in the Senate issued a report entitled “Controlling Foreign Influence in Canadian Elections”, which expressed concern that the Canada Elections Act “does not sufficiently protect [Canadians] from improper foreign interference” and argued that the third party election advertising regime needed to be modernized to ensure transparency and fairness.
Additionally, the Communications Security Establishment has a new report entitled “2019 Update: Cyber Threats to Canada's Democratic Process”. It concluded that it is “very likely that Canadian voters will encounter...foreign cyber interference [ahead of and during] the 2019 general election”.
Bill C-406 is part of a broader conversation regarding the role of money in Canadian politics and the potential for foreign actors to influence Canadian elections. Our government takes this issue very seriously. We understand the importance of ensuring a level playing field in our elections and protecting Canadians from foreign interference.
We are taking a whole-of-government approach to protecting the integrity of Canada's democracy by implementing initiatives to defend the Canadian electoral process from hacking and malicious cyber-activities. That is why our government announced, on January 30, the Government of Canada's plan to safeguard Canada's 2019 election. This plan is built on four pillars: combatting foreign interference, strengthening organizational readiness, encouraging social media platforms to act and enhancing citizen preparedness. Furthermore, we have three world-leading front-line security agencies that constantly adapt to an evolving threat environment.
Canada has a robust political financing regime informed by decades of reform and regulation, but we recognize that we are not immune to these threats and have made it even stronger. Our government has taken further steps to protect our elections by passing Bill C-76, Elections Modernization Act, which received royal assent late last year. The act is a generational change to Canada's electoral legislation and draws on inspiration from the recommendations of the Chief Electoral Officer, the commissioner of Canada elections, studies by the Standing Committee on Procedure and House Affairs and the Standing Senate Committee on Legal and Constitutional Affairs, as well as stakeholder engagement.
 As part of her mandate, the Minister of Democratic Institutions reviewed spending limits for both political parties and third parties. This review also examined third party financing and the potential impacts of foreign contributions and interference in Canada. As such, Bill C-76 already addresses many of the same issues that Bill C-406 is trying to solve, which makes the measures proposed by the member for Red Deer—Lacombe unnecessary. 
With the passage of Bill C-76, foreign entities will no longer be able to spend any money to influence federal elections, and third parties are now prohibited from using foreign funds for their partisan activities and advertising, irrespective of when it is taking place. This is key. It means that even outside of the pre-writ and writ periods, no one is allowed to use foreign funds to support partisan activities and advertising.
Bill C-76 goes further, as all registered third parties are now required to have a Canadian bank account, and any organization, online or offline, that sells advertising space is now prohibited from knowingly running advertisements paid for by a foreign entity. The investigatory powers of the commissioner of Canada elections have also been enhanced so that he has more tools to do his job of ensuring the integrity of our elections.
This is a bit self-serving, as I am a member of the Standing Committee on Procedure and House Affairs, but I would like to thank the members of that committee for their study of the Chief Electoral Officer's recommendations and Bill C-76. Our electoral system, because of that work, is more secure, transparent and protected from undue foreign influence.
Furthermore, while the spirit of Bill C-406 is laudable, the mechanisms outlined in this legislation would largely be ineffective. 
Instead, we took a more pragmatic approach. Bill C-76 would prohibit Canadian third parties from using foreign contributions. With Bill C-76, we developed a more comprehensive and workable regime to support our common interests, which is to ensure that Canadian elections are for and by Canadians.
In a previous session, we noted drafting errors in Bill C-406 that make the provisions difficult to enforce. Bill C-406 refers to subsection 363(1.1) of the Canada Elections Act, which is a provision that does not exist either in the act or in Bill C-76.
Bill C-406 would also create two new prohibitions on foreign contributions but neglects to enact corresponding offences, which would lead to significant enforcement difficulties. The two must go hand in hand, and they are absent in this legislation.
Additionally, Bill C-406 misplaces the new rules regarding third party election advertising, putting them in part 18 of the Canada Elections Act, the part that deals with financial administration of political entities, and not in part 17 of the act, which deals with third party election advertising.
Bill C-76 better addresses the problems Bill C-406 is trying to resolve.
I want to thank the member for Red Deer—Lacombe for his continued efforts in addressing the important discussion of foreign interference in our elections.
As a side note, I hope he takes these concerns to the office of the Leader of the Opposition, because we have heard troubling reports of secret meetings behind closed doors with big oil and reports of the Conservatives' ties to the United States and to the Koch brothers. We do not hear that in the speeches by the hon. members on the other side. 
Now there is a lot of discussion. I think I have touched a nerve in expressing the concerns from Canadians that the Conservative Party is engaging with foreign actors. That should be worrisome to all Canadians. 
I hope members on the other side will take the opportunity to speak to their leader's office and condemn those actions. There is laughter, and I do not know why, as this is a serious issue. I guess the hon. members enjoy their relationship with the Koch brothers.",Liberal,St. Catharines,Chris Bittle,http://www.parl.gc.ca/Parliamentarians/en/members/chris-bittle(234610)
4777824,ca.proc.d.2019-05-06.p5887545,2019-05-06,,,,intervention,Private Members' Business,Canada Elections Act,," Oh, oh!",,,Some hon. members,
4777825,ca.proc.d.2019-05-06.10599763,2019-05-06,cedf1659-ebb1-4f26-b723-5c7c5353988b,214948,The Assistant Deputy Speaker (Mrs. Carol Hughes),,Private Members' Business,Canada Elections Act,,"I would like to remind members of the official opposition that someone else has the floor. When they have the opportunity to make their speeches, they will be able to put their points and comments forward.
The hon. member for St. Catharines has two minutes left.",New Democratic Party,Algoma—Manitoulin—Kapuskasing,Carol Hughes,http://www.parl.gc.ca/Parliamentarians/en/members/carol-hughes(214948)
4777826,ca.proc.d.2019-05-06.10599764,2019-05-06,330c0119-cf49-4e85-9407-539367825c2b,234610,Mr. Chris Bittle,,Private Members' Business,Canada Elections Act,,"Madam Speaker, I was at committee during the lengthy deliberations of the bill, and we heard about the actions of Leadnow, but it was interesting that the Conservative members never brought up the NRA, oil companies in the United States or the association of petroleum producers in the United States. They also never mentioned the Koch brothers, whom they seek to tie themselves with. This is, again, a shocking development.",Liberal,St. Catharines,Chris Bittle,http://www.parl.gc.ca/Parliamentarians/en/members/chris-bittle(234610)
4777827,ca.proc.d.2019-05-06.p5887549,2019-05-06,,,,intervention,Private Members' Business,Canada Elections Act,," Enjoy it while it lasts, because you're going down.",,,An hon. member,
4777828,ca.proc.d.2019-05-06.p5887550,2019-05-06,330c0119-cf49-4e85-9407-539367825c2b,234610,Mr. Chris Bittle,,Private Members' Business,Canada Elections Act,," The members opposite are trying to shout me down. It is disappointing to hear that they do not take this threat seriously. They will tell their donors that they condemn Leadnow, but they are involved in foreign entities.",Liberal,St. Catharines,Chris Bittle,http://www.parl.gc.ca/Parliamentarians/en/members/chris-bittle(234610)
4777829,ca.proc.d.2019-05-06.p5887551,2019-05-06,,,,intervention,Private Members' Business,Canada Elections Act,, You're misleading the House right now.,,,An hon. member,
