basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
4781321,ca.proc.d.2019-05-30.10661891,2019-05-30,07cf5767-802c-406c-92a7-7dc92af79b40,242079,"Mr. Kevin Lamoureux (Parliamentary Secretary to the Leader of the Government in the House of Commons, Lib.)",,Routine Proceedings,Government Response to Petitions,,"Mr. Speaker, pursuant to Standing Order 36(8) I have the honour to table, in both official languages, the government's response to three petitions.",Liberal,Winnipeg North,Kevin Lamoureux,http://www.parl.gc.ca/Parliamentarians/en/members/kevin-lamoureux(242079)
4781322,ca.proc.d.2019-05-30.10661894,2019-05-30,a76af2a6-7a43-4f8f-a887-0d10b3a0a3c1,218969,"Hon. Wayne Easter (Malpeque, Lib.)",,Routine Proceedings,Interparliamentary Delegations,,"Mr. Speaker, pursuant to Standing Order 34(1) I have the honour to present to the House, in both official languages, two reports of the Canada-United States Inter-Parliamentary Group.
The first report concerns the U.S. congressional meetings held in Washington, D.C., U.S.A, from November 26 to 28, 2018.
The second report concerns the U.S. congressional meetings held in Washington, D.C., U.S.A, from February 26 to 27.",Liberal,Malpeque,Wayne Easter,http://www.parl.gc.ca/Parliamentarians/en/members/wayne-easter(218969)
4781323,ca.proc.d.2019-05-30.10661901,2019-05-30,688c6645-b71f-4182-a105-c85eb869e1f7,217511,"Mr. Bob Zimmer (Prince George—Peace River—Northern Rockies, CPC)",,Routine Proceedings,Committees of the House,"Access to Information, Privacy and Ethics","Mr. Speaker, I have the honour to present, in both official languages, the 18th report of the Standing Committee on Access to Information, Privacy and Ethics, entitled “Main Estimates 2019-20: Vote 1 under Office of the Commissioner of Lobbying, Vote 1 under Office of the Conflict of Interest and Ethics Commissioner, Vote 1 under Office of the Senate Ethics Officer and Votes 1, 5, 10 and 15 under Offices of the Information and Privacy Commissioners of Canada”.",Conservative,Prince George—Peace River—Northern Rockies,Bob Zimmer,http://www.parl.gc.ca/Parliamentarians/en/members/bob-zimmer(217511)
4781324,ca.proc.d.2019-05-30.10661909,2019-05-30,d9a6cad1-b3b6-4393-afc5-7c897fb638e6,229654,"Hon. MaryAnn Mihychuk (Kildonan—St. Paul, Lib.)",,Routine Proceedings,Committees of the House,Indigenous and Northern Affairs,"Mr. Speaker, I have the honour to present, in both official languages, two reports of the Standing Committee on Indigenous and Northern Affairs.
The first is the 19th report in relation to Bill C-92, an act respecting first nations, Inuit and Métis children, youth and families. The committee has studied the bill and has decided report the bill back to the House with amendments.
With the introduction of Bill C-92, we mark a historic turning point for first nations, Inuit and Métis children and families. Bill C-92 would finally put in law what indigenous peoples across the country have been asking of governments for decades: that their inherent jurisdiction be affirmed so they can decide what is best for their children, their families and their communities. The amendments that we accepted at committee yesterday would strengthen the bill further. We will continue to listen to our partners on this important legislation.
The second is the 20th report in relation to Bill C-88, an act to amend the Mackenzie Valley Resource Management Act and the Canada Petroleum Resources Act and to make consequential amendments to other acts. The committee has studied the bill and has decided to report the bill back to the House without amendment.",Liberal,Kildonan—St. Paul,MaryAnn Mihychuk,http://www.parl.gc.ca/Parliamentarians/en/members/maryann-mihychuk(229654)
4781325,ca.proc.d.2019-05-30.10661924,2019-05-30,8942c6f2-bfc8-4275-97bb-a5086a07138e,239942,"Mr. Gagan Sikand (Mississauga—Streetsville, Lib.)",,Routine Proceedings,Committees of the House,Library of Parliament," Mr. Speaker, I have the honour to present, in both official languages, the third report of the Standing Joint Committee on the Library of Parliament respecting the main estimates, 2019-20.",Liberal,Mississauga—Streetsville,Gagan Sikand,http://www.parl.gc.ca/Parliamentarians/en/members/gagan-sikand(239942)
4781326,ca.proc.d.2019-05-30.10662439,2019-05-30,eaa6694f-1e20-4aae-ad3b-e694b0e12c59,224170,"Ms. Elizabeth May (Saanich—Gulf Islands, GP)",,Routine Proceedings,Petitions,Animal Welfare,"Mr. Speaker, it is an honour to rise this morning to present a petition that has been circulating. It is not the first time I have presented it, but many Canadians are currently concerned about this issue.
The petitioners ask that the government take steps to stop the use of animals in the testing of cosmetics. The use of animals in this fashion is less regulated in Canada than in other countries. They call on Canada to stop the use of animals in research and testing and to protect animals from cruelty.",Green Party,Saanich—Gulf Islands,Elizabeth May,http://www.parl.gc.ca/Parliamentarians/en/members/elizabeth-may(224170)
4781327,ca.proc.d.2019-05-30.10661938,2019-05-30,b41c3b7e-c64f-4415-9f58-79d7462e5d8e,246395,"Mr. Peter Julian (New Westminster—Burnaby, NDP)",,Routine Proceedings,Petitions,Children's Rights,"Mr. Speaker, it is a pleasure for me to present a petition on behalf of dozens of residents of New Westminster, Burnaby and Vancouver, British Columbia. The petitioners are joining their voices to the thousands of Canadians who have signed petitions thus far.
The petition was initiated by the Elizabeth Fry Society of Greater Vancouver and sponsored by the Elizabeth Fry societies across Canada. The Elizabeth Fry Society in New Westminster is celebrating its 35th anniversary. All of them are calling on the Government of Canada to end discrimination against children in irregular situations.
 As members know, for a wide variety of irregular family situations, a parent may be incarcerated or homeless or the child may be raised in a foster home, there is no provision in government services to ensure that all the benefits that normally go to other children in the country go to those children. 
The petitioners therefore call on the Government of Canada to meet the criteria of the United Nations to recognize the barriers that exist in its own direct payment process to family systems and ensure that all children benefit equally from these benefits.",New Democratic Party,New Westminster—Burnaby,Peter Julian,http://www.parl.gc.ca/Parliamentarians/en/members/peter-julian(246395)
4781328,ca.proc.d.2019-05-30.10661961,2019-05-30,e915cec9-7164-4846-aeb5-d5bf2e4f3598,214562,"Mr. Xavier Barsalou-Duval (Pierre-Boucher—Les Patriotes—Verchères, BQ)",,Routine Proceedings,Petitions,Protection of the Banks of the St. Lawrence River,"Mr. Speaker, I have the honour and pleasure of presenting petition E-2010, which has been signed by 771 people. This online petition will be followed by a second paper petition, which will have about 1,600 signatures by the time it is certified by the clerk.
This petition calls for the restoration of the protection program for the riverbank between Montreal and Lake Saint-Pierre to protect residents from erosion. The St. Lawrence Seaway is a key economic driver, but riverside residents are grappling with significant damage. 
We have requested a meeting with the Minister of Transport to discuss this issue, and we hope he will agree to meet with us and respond favourably to this petition.",Bloc Québécois,Pierre-Boucher—Les Patriotes—Verchères,Xavier Barsalou-Duval,http://www.parl.gc.ca/Parliamentarians/en/members/xavier-barsalou-duval(214562)
4781329,ca.proc.d.2019-05-30.10661979,2019-05-30,d5585b98-faca-4796-a7ea-a48d007cd58e,242059,"Mr. Gary Anandasangaree (Scarborough—Rouge Park, Lib.)",,Routine Proceedings,Petitions,Egypt,"Mr. Speaker, I have the honour to present two petitions.
 The first petition is from a number of citizens, calling on Canada and other countries to escalate our concerns with respect to the recent events in Egypt and the violation of civil rights.",Liberal,Scarborough—Rouge Park,Gary Anandasangaree,http://www.parl.gc.ca/Parliamentarians/en/members/gary-anandasangaree(242059)
4781330,ca.proc.d.2019-05-30.10662249,2019-05-30,d5585b98-faca-4796-a7ea-a48d007cd58e,242059,"Mr. Gary Anandasangaree (Scarborough—Rouge Park, Lib.)",,Routine Proceedings,Petitions,Foreign Affairs,"Mr. Speaker, the second petition is from students of LAWS 4903A at Carleton University, calling upon the Government of Canada to call for the full acquittal of Professor Hatoon al-Fassi from Saudi Arabian custody.",Liberal,Scarborough—Rouge Park,Gary Anandasangaree,http://www.parl.gc.ca/Parliamentarians/en/members/gary-anandasangaree(242059)
4781331,ca.proc.d.2019-05-30.10661982,2019-05-30,95ed53a7-7538-4c0f-85a4-64af76065f95,218942,"Mr. Don Davies (Vancouver Kingsway, NDP)",,Routine Proceedings,Petitions,Vision Care,"Mr. Speaker, I present two petitions today.
The first petition is signed by hundreds of Canadians who are concerned about eye health and vision care.
 The petitioners point out that the number of Canadians with vision loss is expected to double in the next 20 years. They note that it affects all segments of the Canadian population, but that Canada's most vulnerable populations, children, seniors and indigenous people, are at particular risk. They also note that a well-coordinated response involving governments, health professionals, NGOs, industry and individuals working collaboratively can facilitate the promotion of eye health and prevention of vision loss.
 The petitioners therefore call on the government to commit to acknowledging eye health and vision care as a growing public health issue and respond to it, particularly with respect to Canada's vulnerable populations, through the development of a national framework to promote eye health and vision care.",New Democratic Party,Vancouver Kingsway,Don Davies,http://www.parl.gc.ca/Parliamentarians/en/members/don-davies(218942)
4781332,ca.proc.d.2019-05-30.10662422,2019-05-30,95ed53a7-7538-4c0f-85a4-64af76065f95,218942,"Mr. Don Davies (Vancouver Kingsway, NDP)",,Routine Proceedings,Petitions,Children's Rights,"Mr. Speaker, my second petition is sponsored by the wonderful people at the EFry centre.
 The petitioners note that Canada is a signatory to the UN Convention on the Rights of the Child and that it has ratified it. Because of that, they say we are obligated to put the best interests of children at the forefront of all of our policies. They note that the housing first funds are one size fits all and only fund the adult individual, with no additional allocation for parents with children. They also note that many children are excluded from receipt of the Canada child benefit and child special allowances and that there is a significant variation in services and programs across the country.
The petitioners therefore call on the Government of Canada to ensure that the Canada child benefit and child special allowances apply equally to all children, that the Canada social transfers ensure that all children benefit without discrimination and that children from families of parents in special situations, such as incarceration or homeless, are not deprived of these funds as they are the most needy in our country.",New Democratic Party,Vancouver Kingsway,Don Davies,http://www.parl.gc.ca/Parliamentarians/en/members/don-davies(218942)
4781333,ca.proc.d.2019-05-30.10662002,2019-05-30,550141c4-bdc7-48ea-9e5e-6b40f5ad1bed,219906,"Hon. Mark Eyking (Sydney—Victoria, Lib.)",,Routine Proceedings,Petitions,Animal Welfare,"Mr. Speaker, I rise to present a huge petition signed by hundreds of Cape Bretoners. It is very similar to the petition from the member for Saanich—Gulf Islands.
 The petitioners call upon the House of Commons to support Bill S-214 and ban the sale and manufacturing of animal-tested cosmetics and ingredients in Canada moving forward. They are looking for similar legislation that has been passed in other countries, such as Switzerland, New Zealand, Iceland and Norway.",Liberal,Sydney—Victoria,Mark Eyking,http://www.parl.gc.ca/Parliamentarians/en/members/mark-eyking(219906)
4781334,ca.proc.d.2019-05-30.10662009,2019-05-30,c861cfd8-ac30-4ddf-9d31-79dd34dcc59e,236900,"Ms. Ruth Ellen Brosseau (Berthier—Maskinongé, NDP)",,Routine Proceedings,Petitions,Rights of the Child,"Mr. Speaker, today I have the pleasure of presenting a really important petition that should interest every member of the House of Commons.
We want to protect the most vulnerable members of our society. This petition was started by the Elizabeth Fry Society and has been signed by thousands of people. There is a loophole in the federal system. Because of this loophole, some children in need are missing out on family allowances and other federal benefits.
I hope the government will pay attention to this petition I am presenting in the House. I also want to take a moment to thank the member for New Westminster—Burnaby for the important work he is doing with the Elizabeth Fry Society. He presents petitions on this issue every day.
I hope the government will listen to everyone who signed this petition and act swiftly to help Canada's most vulnerable children.",New Democratic Party,Berthier—Maskinongé,Ruth Ellen Brosseau,http://www.parl.gc.ca/Parliamentarians/en/members/ruth-ellen-brosseau(236900)
4781335,ca.proc.d.2019-05-30.10662022,2019-05-30,3c3ee442-a873-4845-84d0-7da07a66ce61,240987,"Mr. Alexandre Boulerice (Rosemont—La Petite-Patrie, NDP)",,Routine Proceedings,Petitions,Rights of the Child,"Mr. Speaker, it is my honour to table a petition signed by dozens of citizens from Nova Scotia, a petition that was launched by the Elizabeth Fry Society.
The petitioners ask that all children, without discrimination in any form, benefit from special protection measures and assistance and to recognize children of parents with addictions and homeless children in need of special support to enable them to achieve improved life outcomes and receive equal benefits under the rights of the United Nations convention. 
I hope the government will listen to this and act.",New Democratic Party,Rosemont—La Petite-Patrie,Alexandre Boulerice,http://www.parl.gc.ca/Parliamentarians/en/members/alexandre-boulerice(240987)
4781336,ca.proc.d.2019-05-30.10662033,2019-05-30,50a18bf1-9be3-4563-b657-6af367453ba0,217254,"Mr. Charlie Angus (Timmins—James Bay, NDP)",,Routine Proceedings,Petitions,Rights of the Child,"Mr. Speaker, I am proud to present a petition to the House signed by Canadians across the country who are calling on the government to uphold the rights of the child in accordance with our obligations under the United Nations Convention on the Rights of the Child.
In order to do that, we must provide affordable housing for families.
As we have seen from other petitions this morning, this is about the rights of children to be recognized in the allocation funds of government programs. They are being ignored now.",New Democratic Party,Timmins—James Bay,Charlie Angus,http://www.parl.gc.ca/Parliamentarians/en/members/charlie-angus(217254)
4781337,ca.proc.d.2019-05-30.10662357,2019-05-30,07cf5767-802c-406c-92a7-7dc92af79b40,242079,"Mr. Kevin Lamoureux (Parliamentary Secretary to the Leader of the Government in the House of Commons, Lib.)",,Routine Proceedings,Questions on the Order Paper,,"Mr. Speaker, I ask that all questions be allowed to stand.",Liberal,Winnipeg North,Kevin Lamoureux,http://www.parl.gc.ca/Parliamentarians/en/members/kevin-lamoureux(242079)
4781338,ca.proc.d.2019-05-30.10662044,2019-05-30,3176068f-62ee-4b2f-aacd-1131201c6db1,214707,The Speaker,,Routine Proceedings,Questions on the Order Paper,,Is that agreed? ,Liberal,Halifax West,Geoff Regan,http://www.parl.gc.ca/Parliamentarians/en/members/geoff-regan(214707)
4781339,ca.proc.d.2019-05-30.p5954077,2019-05-30,,,,intervention,Routine Proceedings,Questions on the Order Paper,, Agreed. ,,,Some hon. members,
4781340,ca.proc.d.2019-05-30.p5954078,2019-05-30,,,,stagedirection,Government Orders,Criminal Records Act,,"The House proceeded to the consideration of Bill C-93, An Act to provide no-cost, expedited record suspensions for simple possession of cannabis, as reported (with amendment) from the committee.",,,,
