basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
4780389,ca.proc.d.2019-05-17.10643633,2019-05-17,eb417798-95f7-45a0-b1e9-ca3a6526d4db,237155,"Mr. Alistair MacGregor (Cowichan—Malahat—Langford, NDP)",,,Points of Order,Projected Order of Business,"Mr. Speaker, in a moment, I will be seeking unanimous consent for a motion. I looked at the projected order of business for today in the House of Commons, and I am puzzled as to why we are debating anything other than the government's climate emergency motion. Is it an actual emergency, or is it just another PR stunt for the Liberals?
I would like to ask for unanimous consent that the orders of the day be resolved back to government Motion No. 29, which would declare that Canada is in a national climate emergency.",New Democratic Party,Cowichan—Malahat—Langford,Alistair MacGregor,http://www.parl.gc.ca/Parliamentarians/en/members/alistair-macgregor(237155)
4780390,ca.proc.d.2019-05-17.10643641,2019-05-17,02c2cb20-f27d-46a5-8e78-ab4b405bf07b,214864,The Deputy Speaker,,,Points of Order,Projected Order of Business,"The hon. member is aware that the government, of course, has the discretion to make these decisions, but nonetheless, I will ask if there is unanimous consent for the hon. member's motion.",Conservative,Simcoe North,Bruce Stanton,http://www.parl.gc.ca/Parliamentarians/en/members/bruce-stanton(214864)
4780391,ca.proc.d.2019-05-17.p5929127,2019-05-17,,,,intervention,,Points of Order,Projected Order of Business," Agreed.
 No.",,,Some hon. members,
4780392,ca.proc.d.2019-05-17.10643642,2019-05-17,07cf5767-802c-406c-92a7-7dc92af79b40,242079,Mr. Kevin Lamoureux,,,Points of Order,Projected Order of Business,"Mr. Speaker, from the moment it was clear that the member was seeking unanimous support, I started to say “no” out loud, yet the member was able to continue. All I am asking for is consistency with the Chair, who might want to review this.",Liberal,Winnipeg North,Kevin Lamoureux,http://www.parl.gc.ca/Parliamentarians/en/members/kevin-lamoureux(242079)
4780393,ca.proc.d.2019-05-17.p5929130,2019-05-17,,,,intervention,,Points of Order,Projected Order of Business," Oh, oh!",,,Some hon. members,
4780394,ca.proc.d.2019-05-17.10643643,2019-05-17,02c2cb20-f27d-46a5-8e78-ab4b405bf07b,214864,The Deputy Speaker,,,Points of Order,Projected Order of Business,"Order. We are not getting off to a good start here today.
 I thank the hon. parliamentary secretary for his additional comments. Members should be reminded that certainly members can stand and raise points for the consideration for unanimous consent. Members should be advised not to use those occasions to enter into debate. These are not opportunities. 
It is known to be common practice of the House to use the unanimous consent motion approach when there is known agreement among parties for the acceptance of these motions. Nonetheless, I would ask members to refrain from using those opportunities for debate. It is not what they are for. Members should quickly go to their point, put the motion before the House for unanimous consent consideration and then we will see what the House decides. 
I thank both the hon. members for their interventions, and now we will go to orders of the day.",Conservative,Simcoe North,Bruce Stanton,http://www.parl.gc.ca/Parliamentarians/en/members/bruce-stanton(214864)
4780395,ca.proc.d.2019-05-17.10643673,2019-05-17,5836b275-89f1-49ce-9b8c-7de46b261c3d,241629,"Hon. Pablo Rodriguez (for the Minister of Public Safety and Emergency Preparedness, Lib.)",,Government Orders,Royal Canadian Mounted Police Act,," moved that Bill C-98, An Act to amend the Royal Canadian Mounted Police Act and the Canada Border Services Agency Act and to make consequential amendments to other Acts, be read the second time and referred to a committee. ",Liberal,Honoré-Mercier,Pablo Rodriguez,http://www.parl.gc.ca/Parliamentarians/en/members/pablo-rodriguez(241629)
4780396,ca.proc.d.2019-05-17.10643648,2019-05-17,b69886d7-ac34-44bd-ab73-bac915667dd6,242083,"Mrs. Karen McCrimmon (Parliamentary Secretary to the Minister of Public Safety and Emergency Preparedness, Lib.)",,Government Orders,Royal Canadian Mounted Police Act,,"Mr. Speaker, I would like to begin by stating that I will be sharing my time with the hon. member for Scarborough—Guildwood this morning.",Liberal,Kanata—Carleton,Karen McCrimmon,http://www.parl.gc.ca/Parliamentarians/en/members/karen-mccrimmon(242083)
4780397,ca.proc.d.2019-05-17.10643649,2019-05-17,02c2cb20-f27d-46a5-8e78-ab4b405bf07b,214864,The Deputy Speaker,,Government Orders,Royal Canadian Mounted Police Act,,"In that this is the first round of speeches for the bill, in the normal case, the members of parties wishing to split their time in those spots must seek the unanimous consent of the House in order to share their time. 
Is there unanimous consent?",Conservative,Simcoe North,Bruce Stanton,http://www.parl.gc.ca/Parliamentarians/en/members/bruce-stanton(214864)
4780398,ca.proc.d.2019-05-17.p5929139,2019-05-17,,,,intervention,Government Orders,Royal Canadian Mounted Police Act,," Agreed.
 No.",,,Some hon. members,
