basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
4781658,ca.proc.d.2019-05-31.p5956120,2019-05-31,,,,stagedirection,Government Orders,"Budget Implementation Act, 2019, No. 1",,"The House proceeded to the consideration of Bill C-97, An Act to implement certain provisions of the budget tabled in Parliament on March 19, 2019 and other measures, as reported (with amendment) from the committee.",,,,
4781659,ca.proc.d.2019-05-31.10667353,2019-05-31,02c2cb20-f27d-46a5-8e78-ab4b405bf07b,214864,The Deputy Speaker,,Government Orders,"Budget Implementation Act, 2019, No. 1",Speaker’s Ruling,"There are 57 motions in amendment standing on the Notice Paper for the report stage of Bill C-97. Motions Nos. 1 to 57 will be grouped for debate and voted upon according to the voting pattern available at the table.
I will now put Motions Nos. 1 to 57 to the House.",Conservative,Simcoe North,Bruce Stanton,http://www.parl.gc.ca/Parliamentarians/en/members/bruce-stanton(214864)
4781660,ca.proc.d.2019-05-31.10667406,2019-05-31,ad4032f2-6bb1-497b-b146-f321cfb71ba9,216481,"Hon. Pierre Poilievre (Carleton, CPC)",,Government Orders,"Budget Implementation Act, 2019, No. 1",Motions in amendment," moved:
 Motion No. 1 
 That Bill C-97 be amended by deleting Clause 30. 
 Motion No. 2 
 That Bill C-97 be amended by deleting Clause 31. 
 Motion No. 3 
 That Bill C-97 be amended by deleting Clause 32. 
 Motion No. 4 
 That Bill C-97 be amended by deleting Clause 33. 
 Motion No. 5 
 That Bill C-97 be amended by deleting Clause 34. 
 Motion No. 6 
 That Bill C-97 be amended by deleting Clause 35. 
 Motion No. 7 
 That Bill C-97 be amended by deleting Clause 36. 
 Motion No. 8 
 That Bill C-97 be amended by deleting Clause 37. 
 Motion No. 9 
 That Bill C-97 be amended by deleting Clause 38. 
 Motion No. 10 
 That Bill C-97 be amended by deleting Clause 39. 
 Motion No. 11 
 That Bill C-97 be amended by deleting Clause 40. 
 Motion No. 12 
 That Bill C-97 be amended by deleting Clause 41. 
 Motion No. 13 
 That Bill C-97 be amended by deleting Clause 42. 
 Motion No. 14 
 That Bill C-97 be amended by deleting Clause 43. 
 Motion No. 15 
 That Bill C-97 be amended by deleting Clause 44. 
 Motion No. 16 
 That Bill C-97 be amended by deleting Clause 57. 
 Motion No. 17 
 That Bill C-97 be amended by deleting Clause 58. 
",Conservative,Carleton,Pierre Poilievre,http://www.parl.gc.ca/Parliamentarians/en/members/pierre-poilievre(216481)
4781661,ca.proc.d.2019-05-31.10667420,2019-05-31,4c0122f7-7958-4cbd-b99e-9d70a4dca1e8,248383,"Mr. Pierre-Luc Dusseault (Sherbrooke, NDP)",,Government Orders,"Budget Implementation Act, 2019, No. 1",Motions in amendment," moved: 
 Motion No. 18 
 That Bill C-97 be amended by deleting Clause 198. 
 Motion No. 19 
 That Bill C-97 be amended by deleting Clause 199. 
 Motion No. 20 
 That Bill C-97 be amended by deleting Clause 200. 
 Motion No. 21 
 That Bill C-97 be amended by deleting Clause 201. 
 Motion No. 22 
 That Bill C-97 be amended by deleting Clause 202. 
 Motion No. 23 
 That Bill C-97 be amended by deleting Clause 203. 
 Motion No. 24 
 That Bill C-97 be amended by deleting Clause 204. 
 Motion No. 25 
 That Bill C-97 be amended by deleting Clause 205. 
 Motion No. 26 
 That Bill C-97 be amended by deleting Clause 206. 
 Motion No. 27 
 That Bill C-97 be amended by deleting Clause 207. 
 Motion No. 28 
 That Bill C-97 be amended by deleting Clause 208. 
 Motion No. 29 
 That Bill C-97 be amended by deleting Clause 209. 
 Motion No. 30 
 That Bill C-97 be amended by deleting Clause 210. 
 Motion No. 31 
 That Bill C-97 be amended by deleting Clause 211. 
 Motion No. 32 
 That Bill C-97 be amended by deleting Clause 212. 
 Motion No. 33 
 That Bill C-97 be amended by deleting Clause 213. 
 Motion No. 34 
 That Bill C-97 be amended by deleting Clause 270. 
 Motion No. 35 
 That Bill C-97 be amended by deleting Clause 271. 
 Motion No. 36 
 That Bill C-97 be amended by deleting Clause 272. 
 Motion No. 37 
 That Bill C-97 be amended by deleting Clause 273. 
 Motion No. 38 
 That Bill C-97 be amended by deleting Clause 274. 
 Motion No. 39 
 That Bill C-97 be amended by deleting Clause 275. 
 Motion No. 40 
 That Bill C-97 be amended by deleting Clause 276. 
 Motion No. 41 
 That Bill C-97 be amended by deleting Clause 277. 
 Motion No. 42 
 That Bill C-97 be amended by deleting Clause 278. 
 Motion No. 43 
 That Bill C-97 be amended by deleting Clause 279. 
 Motion No. 44 
 That Bill C-97 be amended by deleting Clause 301. 
 Motion No. 45 
 That Bill C-97 be amended by deleting Clause 302. 
 Motion No. 46 
 That Bill C-97 be amended by deleting Clause 303. 
 Motion No. 47 
 That Bill C-97 be amended by deleting Clause 304. 
 Motion No. 48 
 That Bill C-97 be amended by deleting Clause 305. 
 Motion No. 49 
 That Bill C-97 be amended by deleting Clause 306. 
 Motion No. 50 
 That Bill C-97 be amended by deleting Clause 307. 
 Motion No. 51 
 That Bill C-97 be amended by deleting Clause 308. 
",New Democratic Party,Sherbrooke,Pierre-Luc Dusseault,http://www.parl.gc.ca/Parliamentarians/en/members/pierre-luc-dusseault(248383)
4781662,ca.proc.d.2019-05-31.10667467,2019-05-31,eaa6694f-1e20-4aae-ad3b-e694b0e12c59,224170,"Ms. Elizabeth May (Saanich—Gulf Islands, GP)",,Government Orders,"Budget Implementation Act, 2019, No. 1",Motions in amendment,", seconded by the member for Joliette, moved:
 Motion No. 52 
 That Bill C-97 be amended by deleting Clause 308.1. 
",Green Party,Saanich—Gulf Islands,Elizabeth May,http://www.parl.gc.ca/Parliamentarians/en/members/elizabeth-may(224170)
4781663,ca.proc.d.2019-05-31.10667421,2019-05-31,4c0122f7-7958-4cbd-b99e-9d70a4dca1e8,248383,"Mr. Pierre-Luc Dusseault (Sherbrooke, NDP)",,Government Orders,"Budget Implementation Act, 2019, No. 1",Motions in amendment," moved:
 Motion No. 53 
 That Bill C-97 be amended by deleting Clause 309. 
 Motion No. 54 
 That Bill C-97 be amended by deleting Clause 310. 
",New Democratic Party,Sherbrooke,Pierre-Luc Dusseault,http://www.parl.gc.ca/Parliamentarians/en/members/pierre-luc-dusseault(248383)
4781664,ca.proc.d.2019-05-31.10667568,2019-05-31,60df4944-d66b-4133-a348-2bcde37c8752,246261,Hon. Maryam Monsef,,Government Orders,"Budget Implementation Act, 2019, No. 1",Motions in amendment," moved:
 Motion No. 55 
 That Bill C-97, in Clause 313, be amended by 
 (a) replacing the section 13 that is set out in it with the following: 
 13 There is to be a Federal Housing Advocate whose mandate is to 
 (a) monitor the implementation of the housing policy and assess its impact on persons who are members of vulnerable groups, persons with lived experience of housing need and persons with lived experience of homelessness; 
 (b) monitor progress in meeting the goals and timelines—and in achieving the desired outcomes—set out in the National Housing Strategy; 
 (c) analyze and conduct research, as the Advocate sees fit, on systemic housing issues, including barriers faced by persons referred to in paragraph (a); 
 (d) initiate studies, as the Advocate sees fit, into economic, institutional or industry conditions—respecting matters over which Parliament has jurisdiction—that affect the housing system; 
 (e) consult with persons referred to in paragraph (a) and civil society organizations with respect to systemic housing issues; 
 (f) receive submissions with respect to systemic housing issues; 
 (g) provide advice to the Minister; 
 (h) submit a report to the Minister on the Advocate’s findings and any recommendations to take measures respecting matters over which Parliament has jurisdiction, to further the housing policy, including the progressive realization of the right to adequate housing, and the National Housing Strategy; and 
 (i) participate in the work of the National Housing Council as an ex officio member. 
 13.1 (1) The Federal Housing Advocate may conduct a review of any systemic housing issue that is raised in a submission received under paragraph 13(f). 
 (2) The Federal Housing Advocate may request that the National Housing Council establish a review panel to hold a hearing to review any systemic housing issue within the jurisdiction of Parliament that is raised in a submission received under paragraph 13(f). 
 (3) The Federal Housing Advocate must inform the person or group that presented the submission whether or not any action will be taken under subsection (1) or (2). 
 (4) If the Federal Housing Advocate conducts a review of the systemic housing issue, he or she must, at the conclusion of the review, provide the Minister and the person or group that presented the submission with a report setting out the Advocate’s opinion on the issue and any recommendation to take measures — respecting matters over which Parliament has jurisdiction — to further the housing policy, including the progressive realization of the right to adequate housing, or the National Housing Strategy. 
 13.2 (1) If the Federal Housing Advocate, at any time, identifies a systemic housing issue that is within the jurisdiction of Parliament and that is not the subject of a submission, he or she may request that the National Housing Council establish a review panel to hold a hearing to review the issue. 
 (2) The Federal Housing Advocate must provide a review panel with a summary of the information that formed the Advocate’s basis for identifying the systemic housing issue. 
 (b) adding, after the section 16 that is set out in it, the following: 
 Review Panels 
 16.1 The National Housing Council must establish a review panel if requested to do so by the Federal Housing Advocate. 
 16.2 (1) A review panel is to consist of three members of the National Housing Council, other than ex officio members, to be appointed by the National Housing Council. 
 (2) In appointing members to a review panel, the National Housing Council is to take into consideration the importance of representation on the review panel of 
 (a) persons who are members of vulnerable groups; 
 (b) persons with lived experience of housing need, as well as those with lived experience of homelessness; and 
 (c) persons who have expertise in human rights. 
 16.3 A review panel must 
 (a) hold a hearing to review the systemic housing issue in respect of which it was established; 
 (b) hold the hearing in a manner that offers the public, particularly members of communities that are affected by the issue and groups that have expertise in human rights and housing, an opportunity to participate; 
 (c) prepare a report that sets out the panel’s opinion on the issue and any recommendation to take measures—respecting matters over which Parliament has jurisdiction—to address the issue; and 
 (d) submit the report to the Minister. 
 16.4 The Federal Housing Advocate is entitled to make representations and present proposals for recommendations to a review panel and may, for the purpose of doing so, work with communities that are affected by the issue that is before the review panel and with experts. 
 (c) adding, after the section 17 that is set out in it, the following: 
 17.1 The Minister must respond to each report provided by the Federal Housing Advocate under paragraph 13(h) and subsection 13.1(4) within 120 days after the day on which it is received. 
 17.2 (1) The Minister must respond to a report submitted by a review panel under paragraph 16.3(d) within 120 days after the day on which it is received. 
 (2) The Minister must cause the response to be laid before each House of Parliament on any of the first 30 days after the day on which it is provided to the review panel or, if either House is not sitting on the last day of that period, on any of the first 15 days on which that House of Parliament is sitting. 
",Liberal,Peterborough—Kawartha,Maryam Monsef,http://www.parl.gc.ca/Parliamentarians/en/members/maryam-monsef(246261)
4781665,ca.proc.d.2019-05-31.10667491,2019-05-31,eaa6694f-1e20-4aae-ad3b-e694b0e12c59,224170,"Ms. Elizabeth May (Saanich—Gulf Islands, GP)",,Government Orders,"Budget Implementation Act, 2019, No. 1",Motions in amendment,", seconded by the member for Joliette, moved:
 Motion No. 56 
 That Bill C-97 be amended by deleting Clause 334. 
 Motion No. 57 
 That Bill C-97 be amended by deleting Clause 335. 
",Green Party,Saanich—Gulf Islands,Elizabeth May,http://www.parl.gc.ca/Parliamentarians/en/members/elizabeth-may(224170)
4781666,ca.proc.d.2019-05-31.10667414,2019-05-31,ad4032f2-6bb1-497b-b146-f321cfb71ba9,216481,"Hon. Pierre Poilievre (Carleton, CPC)",,Government Orders,"Budget Implementation Act, 2019, No. 1",Motions in amendment,"Mr. Speaker, it gives me no pleasure to rise in the House today and begin my remarks only hours after the terrible news of our flatlined economic growth in Canada. For the second quarter in a row, Canada's annualized growth has been 0.4%. On a quarter over quarter basis, it is 0.1%. 
To put this into perspective, U.S. economic growth in the most recent quarter was 3.2%. Canada's economic growth in the same period was 0.4%. Our economic growth is now declining on a per capita basis. That is to say, our economy is growing more slowly than our population. The result is that more people are sharing in a smaller pie. That means per person, Canadians are now falling behind.
 It just became known that Canada suffered the biggest decline in its ranking for competitiveness on the world stage. This should not surprise us. As the government has become more and more costly, the productive sectors of our economy are bearing a bigger and bigger burden.
The problem in the Liberal mindset is that the Liberals as politicians do not realize that whatever they add to the economy, they must first subtract.
 Let us start with the deficit.
 The government is taking about $20 billion a year out of the economy through government borrowing, and $20 billion of borrowed money does not come out of thin year. It is often a fallacy of thinking that politicians add to economic activity when they borrow cash out of the economy by simply throwing it back into the economy where they got it from.
In reality what they do when they borrow that money out of the economy is subtract it from otherwise productive investments that individuals and businesses would have made in the open and private sector economy, but instead were able to earn interest on by lending to the government. This is called the crowding out effect. It is nothing new. It is well known and it is based on general reasoning. 
If we accept that government is able to fashion cash out of thin air, and it is not, then we must also accept that the money the government borrows out of the economy subtracts from economic growth. For the government members, who I see are in a haze of bewilderment at the poor economic numbers with which they are just now becoming acquainted, I will explain to them why their deficits are failing to generate economic growth.
The reason is that the Liberals are subtracting before they are adding. They are taking away before they are giving back. The transaction that happens when one takes away only to give back engenders a whole series of inefficiencies, where instead of dollars being allocated by consumers and investors, they are allocated by incompetent politicians. That is the nature of government directed economics.
Then there is taxation. The government has raised taxes on workers and businesses since taking office.
 Let us start with workers. The average Canadian middle-class family is paying $800 more in income tax than it was before the government took office. That is in addition to the increase in fuel taxes through the carbon tax and payroll taxes through increased CPP premiums. All of those tax increases compound to squeeze the average Canadian family's ability to buy and invest in the private and productive economy.
Businesses are also facing increased costs. The government has increased taxes on small family businesses, and four different tax increases come to mind.
 First, there are new tax penalties for family-owned businesses that share the work and earnings of their companies with family members.
 Second, there are new penalties for small businesses that save within their companies. They risk losing their small business tax deduction if they have more than $50,000 a year in investment income. Naturally, this penalty causes small business owners to withdraw their investments for fear that they will be punished for earning too much return on those investments.
Third, Canada pension plan premiums have gone up, which increase the cost to the entrepreneur of hiring and employing workers. As a result, businesses have already made it clear that they are going to have to either lay people off or cut wages to compensate for the increased governmental taxation costs.
 Finally, the carbon tax has made it more expensive for small businesses to operate. Heat, transportation and the functioning of factories all become more expensive as the price of fuels go up. Our farmers face new costs for all the off-farm transportation energy costs they consume. Those costs are not exempt from the carbon tax and therefore our farmers pay more.
 All these costs compound on the backs of entrepreneurs and workers and are part of the reason our economy is grinding to a halt.
The government believes that it can tax and borrow its way to prosperity. Churchill examined the logic of that when he compared those who believed they could tax and borrow to prosperity to a man who believed he could fly if he got inside a bucket and pulled up as hard as possible on the handle to lift himself into the sky. What government forgets is that as much as it pulls up on the handle, it is pressing down twice as hard with its feet. In other words, the downward pressure is much more powerful than the upward pull, and that is what we are witnessing today.
The government will try, along with help from Liberal-minded commentators, to suggest that the fact our economy is no longer growing is not the Prime Minister's fault; it is part of a global phenomenon. Unfortunately, that does not bear out with the facts. Right next door, in the United States, the growth is 3.2%, a spectacular growth rate. The Americans are our biggest trading partner, responsible for 75% of our exports. If import and export are combined, the United States is equal to about 40% of our GDP. We have a $2-trillion economy and an $800-billion trading relationship with the U.S. 
Therefore, the biggest global influence on economic growth in Canada is from the U.S., and that economy is growing. In fact, its economy is roaring strong.
 In other words, it is not possible for the Prime Minister to externalize his failures by blaming some global phenomenon. That global phenomenon does not seem to have affected our neighbours south of the border. In fact, the global economy over the last three years has been exceptionally strong, recovering for the first time since the great global recession of 2008-09. It is Canada that is falling behind the global trend with the appalling numbers we see today.
How do we get back on track? The answer is to get government off the backs and out of the way of Canadian workers and entrepreneurs; to lower the tax burden to make work pay so workers keep more of what they earn; to remove tax increases on small businesses that are the engine of our economy; and to clear the way for large multi-billion dollar energy resource projects to go ahead, financed by the private sector, without the obstruction of government.
 That is the vision of the Conservative leader. He believes we should get the government out of the way so workers and entrepreneurs can invest, grow and get ahead. It has been done before and it can be done again. That is the Conservative plan. Now let us make it happen.",Conservative,Carleton,Pierre Poilievre,http://www.parl.gc.ca/Parliamentarians/en/members/pierre-poilievre(216481)
4781667,ca.proc.d.2019-05-31.10667488,2019-05-31,60df4944-d66b-4133-a348-2bcde37c8752,246261,"Hon. Maryam Monsef (Minister of International Development and Minister for Women and Gender Equality, Lib.)",,Government Orders,"Budget Implementation Act, 2019, No. 1",Motions in amendment,"Mr. Speaker, since we formed government, Canadians have created over one million jobs; over one million families have a safe and affordable roof over their heads; 825,000 Canadians are no longer going to bed hungry at night; child poverty rates have been cut by 40%; and taxes have been lowered on the middle class and increased on the 1%. Our plan is clearly working, because Canadians are working.
Why did my hon. colleague vote against every single measure we put forward to make a real difference in the lives of Canadians?",Liberal,Peterborough—Kawartha,Maryam Monsef,http://www.parl.gc.ca/Parliamentarians/en/members/maryam-monsef(246261)
